Time:,1:40:15.498519,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.056998761987274736,4,8,276,131,0.028080115917611496
0.05606677222442647,4,6,229,103,0.04153558561645053
0.040107257467112446,4,8,228,149,0.031085401957487185
0.0806619665909253,4,8,256,125,0.024455105285437376
0.05489868365476662,4,4,176,145,0.05539729336594319
0.04010547401815448,4,4,140,109,0.05181615870324572
0.050882917257589685,4,4,175,127,0.0518595449731881
0.07964826134093093,4,4,184,109,0.05227624394010418
0.041462115977418314,4,10,159,139,0.04503811718133525
0.06311223670987635,4,10,159,159,0.03895246325137596
0.02164047484177691,4,10,226,162,0.049839026970722684
0.05246727301797315,4,10,191,176,0.05396771309323458
0.06075049197417303,4,10,250,171,0.04452911462544437
0.041929610809734556,4,10,199,147,0.054358532735569634
0.06054804911264982,4,10,226,183,0.04979649558268369
0.04859626522908688,2,10,226,154,0.04835966561229113
0.03558274530734668,4,10,226,150,0.028728285929080655
0.0781475638015507,8,10,226,165,0.0462565504100241
0.09931487365158813,4,10,216,132,0.04414807205141542
0.059629052353094784,8,8,157,75,0.0038497918580089547
0.07652664213115382,2,10,376,72,0.0172988583092541
0.04052302831634094,6,2,214,272,0.09941044694460006
0.09617596951286714,6,2,286,297,0.0960312913718071
0.04243885627843196,4,8,189,185,0.054343191349209646
0.04905308292975651,4,8,124,214,0.05226048229033335
0.052599948990941836,4,8,126,238,0.05898214140959775
0.048688022157902515,4,8,133,249,0.05882285592750025
0.04373677376349655,4,8,101,249,0.0638276660752944
0.0383147932692441,4,8,62,287,0.06807672543884087
0.03566837448815772,4,8,60,293,0.0785129648184547
0.045554330534612456,4,8,44,274,0.07844779802619688
0.03361984395003168,4,8,69,296,0.08920585157089017
0.044501692745979184,4,8,66,280,0.0982578460232691
0.035661988845771264,4,8,40,300,0.1
0.03394822367605371,4,8,40,300,0.1
0.0419842483562298,4,8,218,187,0.1
0.05648529546522333,4,8,89,169,0.1
0.04117631771225034,4,8,48,294,0.1
0.08469853866583103,4,10,226,148,0.049860538164533
0.02861119638431474,4,8,40,300,0.1
0.029103888626246893,4,8,40,300,0.1
0.03787296089727728,4,8,40,300,0.09535495490675225
0.035081979866546646,4,8,40,300,0.09687873786728886
0.0437171460074234,4,8,226,163,0.04572302092163803
0.047308102687332786,4,2,226,163,0.05426593716241587
0.04645410061781352,4,8,48,300,0.024376267562032886
0.030864814429392786,4,6,260,84,0.06146689522173719
0.04268625258731406,4,10,226,164,0.03937335436088251
0.03398246206224624,4,6,260,84,0.061245861654368544
0.04942515546460733,4,10,227,152,0.020992959543533148
0.025476469360093953,6,2,45,197,0.05457062436112064
0.05629110611233552,4,6,260,84,0.06155829590159685
0.04514539909014194,6,2,74,207,0.0905056244359805
0.043712917228532676,6,2,45,197,0.08787365708657954
0.02415649918053767,6,2,45,197,0.055298195904885855
0.04288878651519641,6,2,45,197,0.05672326688269152
