Time:,3:35:17.345553,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.04212994030474487,2,6,224,41,0.08064192423412103
0.04066946311902342,4,2,179,130,0.007273215059508822
0.027519316594529053,4,10,45,90,0.024808593416913882
0.0511174430426028,2,6,356,147,0.09273606069074071
0.04536965491651477,10,6,42,162,0.0428274181917624
0.0385453381930163,10,2,56,295,0.09682790027813942
0.03544272454650992,10,6,144,239,0.0020710613474879506
0.04159381209307932,10,4,195,95,0.07869205483768324
0.04949036357987153,8,10,230,214,0.056239312813269125
0.10537903444655906,6,4,391,74,0.039154858473409694
0.06265263131028091,8,2,259,182,0.0918360358210653
0.05429397246904906,2,4,369,54,0.09271900346907196
0.0660705872036857,10,8,99,291,0.06650706442900041
0.11414844035706602,10,6,393,172,0.0647102188636915
0.4748548481106207,4,10,225,172,0.07078503380927997
0.12066157222090232,8,8,287,294,0.02917128202799367
0.03576053046839744,8,2,118,153,0.031132724044077346
0.048487786588401575,10,2,98,106,0.019263820659653652
0.09438562562596037,10,8,309,48,0.019758268482958752
0.053565644597400694,6,10,248,98,0.09594806861738564
0.04218907805796443,4,6,192,296,0.01701845950808498
0.06674420901383193,10,10,146,140,0.0568229622306388
0.04360550223050814,4,4,202,173,0.05785016516445345
0.02469047024804688,6,8,52,256,0.05146311125843841
0.15019185661557363,10,8,268,163,0.04262202063245138
0.052494762519727976,4,2,139,200,0.09094373788872283
0.05339151748045213,4,6,242,203,0.09193063320108244
0.06515353432614307,8,8,52,141,0.07206510027954517
0.04496625530841281,4,10,59,184,0.04648073603176681
0.05897696572789577,8,8,142,300,0.007804288449990143
0.08782376992996196,4,10,202,235,0.0912199196237351
0.04651189136259893,10,8,344,146,0.026772041541217317
0.06982330883714247,4,4,320,17,0.04590662423325395
0.08087821400059395,8,2,186,100,0.011056464700712114
0.06269433514331763,8,10,281,1,0.034981229817218525
0.11322371405356185,2,10,203,134,0.08608117610679762
0.03884381059752506,6,4,240,191,0.055809227678689406
0.11736746280827842,6,10,256,82,0.06546496783204049
0.031492390258128916,2,2,385,3,0.045467777392825745
0.0681125460767051,6,6,229,99,0.008155453073350926
0.04473489383838266,10,2,390,138,0.08255764881189866
0.04229652120950488,10,4,64,22,0.09179047036844225
0.056015194931661065,6,4,273,289,0.003146579904197482
0.04815185967614427,4,6,96,72,0.06528842566539408
0.053089038081896224,6,8,73,222,0.08401451869380935
0.07658608023316821,8,4,255,18,0.08925072126800854
0.044327037548743446,6,4,59,268,0.028652698263462298
0.06682172190778136,2,10,74,228,0.05434887024431982
0.43532938809654415,10,6,225,51,0.050596165380355065
0.07999493410016596,2,6,173,189,0.01928031757040092
0.11510314337480852,2,6,225,49,0.05700938524887468
0.051534055450135036,8,10,222,200,0.07139049335322596
0.053021843506311464,8,10,229,196,0.06317443778347474
0.09973605087249403,2,10,223,225,0.07096928523864333
0.05416154695044087,10,6,144,8,0.045951726956796585
0.0540979153138119,8,6,226,2,0.088756274005103
0.058545161375114674,6,10,225,166,0.07648244878153511
0.06311222190929815,4,8,228,163,0.07572974607014632
0.16095626678404057,4,10,231,183,0.0750736120921739
0.05696460206200366,10,6,153,66,0.052623261591617475
0.05679292031624771,10,6,226,39,0.07767587431154352
0.04989087986817069,10,6,189,64,0.05429928162565231
0.07949194245797467,10,6,217,23,0.0672306157058999
0.034179355005112926,10,6,215,56,0.0511988151609104
0.1623864832993312,10,6,228,59,0.05239280481935451
0.031046274315339406,4,6,225,126,0.06324033663038489
0.0772485560162713,4,8,224,113,0.07027188399754815
0.06287813598129263,4,10,125,164,0.06972673310295123
0.05600358838657681,4,10,203,172,0.0494966241356522
0.044665615548730615,4,10,226,170,0.007883821942940494
