Time:,0:15:00.282384
MSE,H1,H2
0.04336536404711479,2,2
0.04325072689899119,2,4
0.04375436789759993,2,6
0.052648419835666205,2,8
0.06096817088254726,2,10
0.043705513147326985,2,12
0.04465807101648929,4,2
0.06337801422029449,4,4
0.05481960899527501,4,6
0.03255785173210599,4,8
0.06218564070464099,4,10
0.04052096504116891,4,12
0.05877377728527468,6,2
0.07137131217836298,6,4
0.03560745060969207,6,6
0.06359304498794723,6,8
0.030784083706953465,6,10
0.057601900226160206,6,12
0.038563058296117725,8,2
0.0702852412632412,8,4
0.03937397968254555,8,6
0.06409107664653568,8,8
0.13204222109530633,8,10
0.08110071383468,8,12
0.04011050180225313,10,2
0.07150625262633314,10,4
0.056886797145145086,10,6
0.06721744784522928,10,8
0.1615692470526571,10,10
0.43574004799022975,10,12
0.07079596118112866,12,2
0.07786195852614144,12,4
0.1927656280769615,12,6
0.06035112597766763,12,8
0.7304797196343111,12,10
0.12198048506986041,12,12
