Time:,0:24:12.272803
MSE,H1,H2
0.03781405300971838,2,2
0.04806608790393435,2,4
0.048026038865003395,2,6
0.04895104300254487,2,8
0.04174714162810492,2,10
0.04479629755566833,2,12
0.04484857944842088,4,2
0.059837208148847756,4,4
0.048949722202964535,4,6
0.04149512987742803,4,8
0.04941699929216102,4,10
0.04268842505921002,4,12
0.042735113314724085,6,2
0.055135648550045796,6,4
0.04141073693259282,6,6
0.0407941895762488,6,8
6.830760579531387,6,10
0.039928998062715534,6,12
0.03361192278750824,8,2
0.05331516253119499,8,4
0.06404857426024758,8,6
0.04254074676869713,8,8
0.05099075311087829,8,10
1.678628888901499,8,12
0.07716976629841962,10,2
0.056657380709212585,10,4
0.05050535659359398,10,6
0.105638484229508,10,8
0.06257208571635017,10,10
0.05867894574602818,10,12
0.055453972188421706,12,2
0.03866934208644855,12,4
0.05892027826308183,12,6
0.09782616070224015,12,8
0.04877354765277385,12,10
0.06949992048471054,12,12
