Time:,0:14:56.456002
MSE,H1,H2
0.04265524965437245,2,2
0.04360805292221975,2,4
0.04367255597020282,2,6
0.052709948941748255,2,8
0.057607421099645215,2,10
0.044036244688317586,2,12
0.037677733347104184,4,2
0.10817828049885259,4,4
0.16421100109595463,4,6
0.04223129535894992,4,8
0.08542633141246823,4,10
0.07669940641250943,4,12
0.031651106721313604,6,2
0.062226483845438114,6,4
0.04684216797441599,6,6
0.09109901741057486,6,8
0.17483619722175145,6,10
0.13922940322077798,6,12
0.06263338862642737,8,2
0.09008628586686598,8,4
0.07295395471316976,8,6
0.08008801634800022,8,8
0.08868044341432156,8,10
0.27610081213059673,8,12
0.04065357654301423,10,2
0.060842692593854365,10,4
0.042914834875865185,10,6
0.07346847923704496,10,8
0.0447752436244439,10,10
0.5422062996168794,10,12
0.09064612650616584,12,2
0.0621086425446986,12,4
0.24282046098323246,12,6
0.0788898076830716,12,8
0.06673199257215195,12,10
0.060142206622219724,12,12
