Time:,0:24:16.557213
MSE,H1,H2
0.044889978975499095,2,2
0.04711700124718607,2,4
0.06420723832037825,2,6
0.06864271009723116,2,8
0.056591640288124495,2,10
0.048901892679920775,2,12
0.03947044648177259,4,2
0.06280698665886798,4,4
0.04848374488764693,4,6
0.06101594154997197,4,8
0.0435792363217541,4,10
0.06780538466519949,4,12
0.029375869380466896,6,2
0.06019412231615954,6,4
0.0510223955795427,6,6
0.042207144862845436,6,8
0.043014424816531296,6,10
0.06152467697418779,6,12
0.05270166848007188,8,2
0.05850337125433719,8,4
0.06630397714564094,8,6
0.06622503424783206,8,8
0.0799107885897792,8,10
0.05416262345406895,8,12
0.05196991316519709,10,2
0.055471464999136,10,4
0.0487994403501279,10,6
0.05248187175818825,10,8
0.06007069788263161,10,10
0.06427156152902741,10,12
0.051305169286893715,12,2
0.06083520159200579,12,4
0.03825439233491169,12,6
0.07112007459195668,12,8
0.04574764018541626,12,10
0.06952778109895884,12,12
