Time:,0:14:58.798326
MSE,H1,H2
0.04447343600387789,2,2
0.04645020236283812,2,4
0.04548106035116364,2,6
0.052528984963061735,2,8
0.06679411728370833,2,10
0.04637083950720016,2,12
0.0349997182385647,4,2
0.03238656993575359,4,4
0.048527841496519675,4,6
0.11186999313978527,4,8
0.05076620818544862,4,10
0.04364845778820069,4,12
0.04622830796388376,6,2
0.0335975512893362,6,4
0.03718078421593483,6,6
0.05787936776301256,6,8
0.06847537538395392,6,10
0.0849824243190165,6,12
0.05968639153034779,8,2
0.04962358710181447,8,4
0.05342541735277024,8,6
0.1871728899555899,8,8
0.3842112290132067,8,10
0.0483651150264484,8,12
0.04657915472781411,10,2
0.09325132236698165,10,4
0.051996848450457996,10,6
0.17396404444678626,10,8
0.05798571208318074,10,10
0.11061536358842014,10,12
0.08170744748943769,12,2
0.07563929219874495,12,4
0.052152731464212475,12,6
0.14602463502607613,12,8
0.07834632722634502,12,10
0.10669733670355788,12,12
