Time:,00:46.6,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.031176328,6,8,222,125,0.172147887
0.021549964,4,4,263,57,0.023315952
0.015592486,2,6,166,128,0.019740562
0.015470384,2,6,104,72,0.049354249
0.100966316,8,10,297,53,0.078817092
0.185274881,6,6,258,91,0.087122917
0.077947207,6,10,108,100,0.092569063
0.051026283,6,4,263,111,0.009580553
0.326664199,10,8,286,141,0.195062815
0.042275421,6,4,186,124,0.119986189
0.010856648,2,8,133,44,0.065697257
0.011766207,6,2,177,53,0.179276071
0.076027888,8,6,105,140,0.157304915
0.030023557,6,4,158,113,0.177263569
0.073867741,8,4,141,41,0.014401531
0.068315298,8,10,238,149,0.13813781
0.11305285,10,6,206,59,0.031845667
0.089720193,10,8,195,137,0.080900042
0.015756046,4,4,182,43,0.112755803
0.049940249,8,4,143,60,0.08591021
0.040267426,10,2,283,57,0.188682198
0.025111128,8,2,151,142,0.16767847
0.040228959,4,8,173,143,0.122711627
0.042564467,8,6,242,55,0.165803495
0.050284246,8,6,116,81,0.186733909
0.02507395,6,4,214,103,0.083436906
0.01657287,8,4,224,93,0.194870982
0.051758993,8,2,144,53,0.03513727
0.017622941,6,8,213,103,0.130873783
0.018401647,4,10,139,133,0.192095613
0.046207852,6,4,152,113,0.036440907
0.021554405,6,2,168,84,0.093567976
0.098766595,8,10,203,84,0.011783508
0.015015202,2,8,102,86,0.001367832
0.019569354,6,4,224,86,0.002840906
0.020711743,6,4,206,126,0.104393291
0.011933069,6,2,182,117,0.184893545
0.18591931,6,4,229,145,0.042962375
0.502469582,10,6,252,97,0.118941681
0.0208884,4,2,206,124,0.003653843
0.051319466,8,4,279,40,0.155635616
0.015829971,6,4,216,40,0.0001
0.019158338,6,2,206,77,0.127852048
0.270375841,6,2,272,80,0.027302787
0.026254072,8,2,243,102,0.2
0.025261909,6,10,182,105,0.2
0.053010726,6,4,205,81,0.108310049
0.055012173,10,2,296,40,0.2
0.012069243,6,2,206,59,0.049285934
0.029597195,6,2,211,116,0.2
0.014695281,2,6,145,83,0.016978055
0.009890678,4,4,205,78,0.122995895
0.017025125,6,4,226,44,0.0001
0.010993203,4,6,165,98,0.029632431
0.011788785,4,4,166,101,0.114220604
0.013967628,4,6,162,98,0.060968265
0.095347282,4,4,183,104,0.039393371
0.008631853,4,4,155,70,0.19022474
0.03712898,4,4,143,101,0.174298232
0.018292948,4,4,217,42,0.197738502
0.143891123,4,4,228,136,0.066097858
0.012938811,4,2,213,66,0.160997804
0.042709701,4,4,203,40,0.187444714
0.038183628,4,4,168,45,0.128948667
0.023573772,4,2,162,78,0.129526023
0.041233921,6,2,195,61,0.081489624
0.020950302,6,6,220,40,0.169921604
0.057069182,10,2,213,103,0.2
0.054505328,6,8,194,40,0.171746309
0.070098372,4,2,202,40,0.187788143
0.020504467,6,2,216,61,0.0001
0.070304308,6,8,272,138,0.047079157
0.010841879,4,10,237,46,0.022592489
0.048427278,6,2,161,50,0.2
0.010871603,2,10,127,71,0.141019157
0.015876999,2,6,151,113,0.023081065
0.089904962,4,10,214,82,0.083526636
