Time:,0:22:56.264456
MSE,Epochs,Batch Size
0.0063306619393252725,229,351
0.005674817756835454,52,292
0.010051702302398399,182,23
0.006640629354509206,155,42
0.011825713011484678,366,155
0.008210647586481068,341,394
0.004845432359824592,246,366
0.008462010166150334,103,68
0.006054829915410061,455,277
0.00789234588682968,479,188
0.006771130832270497,286,322
0.004896207207672154,472,97
0.018037279443873747,354,205
0.006696907300086776,109,255
0.007388735842151703,81,31
0.005428726982465826,91,348
0.007144103509252128,28,95
0.006639742878556499,493,77
0.0058373372941751475,70,223
0.0058865605498678655,217,247
0.0071310838655090835,397,371
0.005116621749393626,142,129
0.005174714435250409,371,372
0.008488933948713404,20,375
0.020148716422572096,290,69
0.006263734117364048,139,329
0.01721653441424733,366,16
0.005968026535179306,227,232
0.008670926432069362,255,324
0.010533156154678647,211,29
0.008570571960897952,194,365
0.007844740997225893,147,214
0.007682768813828118,455,400
0.005652655107920265,83,287
0.005611078539742259,83,289
0.006018487055859482,82,292
0.00567355560283305,82,293
0.005088675605493123,82,296
0.005603098200784581,82,301
0.005755341241336938,81,304
0.005523308429340547,81,305
0.006983004454802387,358,349
0.005067396772799001,81,306
0.00639900686004912,249,391
0.00682982254432696,467,107
0.0064394518408022565,81,312
0.007194703488661073,251,366
0.006067755280266277,80,303
0.008118392214595859,153,122
0.016109588145487724,476,44
0.007910945244511233,96,146
0.012964863633900129,500,98
0.006957282564891202,84,302
0.005254722412463466,472,107
0.0049812812081624185,80,296
0.00527424014214892,62,278
0.005735689137195213,53,269
0.005172925754077713,61,276
0.005858598773978294,57,273
0.006711728454102281,241,368
0.007739020839313468,473,102
0.017914160683971753,500,303
0.006627169091367798,470,109
0.009172833412699644,456,93
0.007709936098946009,133,137
0.005332847579108672,70,291
0.00627150398493971,445,180
0.006187200097894924,66,273
0.006863424875313942,439,262
0.005975054754968048,66,278
0.006551326640236731,69,295
0.010992558290626833,459,144
0.005992581649602927,80,234
0.00523855316590401,73,289
0.005807678047984199,109,363
0.007016482743988316,246,357
0.011867839482285905,372,375
0.006187755306664403,75,298
0.006412666229038351,75,295
0.006888973645850067,74,292
0.0057240042919618666,74,291
0.008532651825293147,10,228
0.005077993763506521,79,308
0.006166931908662733,80,315
0.006041289414474988,102,339
0.005114841563899127,77,301
0.0057628972100714085,67,274
0.006103146616819166,66,275
0.0052512178523376534,64,278
0.005812099460681695,10,10
0.006209142063773259,64,277
0.006439275073532806,409,315
0.006476204325486098,65,279
0.0068837011690429,97,348
0.006019243804278679,84,297
0.005795425395190755,452,218
0.005004635525981173,81,297
0.005506323632059284,84,297
0.005449937673836574,85,297
0.005268816933987573,87,297
0.005879882709542453,91,297
0.006296071221184605,98,400
0.00619875473663966,87,296
0.005989404924245413,84,297
0.006290350977214969,10,43
0.0055628751243684245,84,297
0.006286109367903522,84,297
0.005846740675786498,83,297
0.009372192739406546,450,210
0.006369839091033148,82,297
0.005600834454863504,82,297
0.006059173296051625,82,297
0.005541344978708832,82,298
0.006139077133716017,368,399
0.0059548066967546375,82,298
0.008425752229278912,472,266
0.009907502435093888,369,368
0.0061285170042436775,82,298
0.006904371520101084,177,276
0.005597569479421208,81,297
0.005880295148098122,81,298
0.006201423175590776,82,298
0.006174384948991377,58,280
0.00620569748532778,82,297
0.006168877182878451,82,297
0.005496703855386403,35,10
0.013266754373154999,28,10
0.0051991560226589675,40,10
0.005417152577810449,75,299
0.006054855355821829,75,299
0.005912474582823543,38,111
0.010720883657951307,38,20
0.005554360171014246,75,294
0.005754336246834925,75,293
0.0058955857266630935,75,293
0.0063821327099956625,75,293
0.0057755457632675455,75,292
0.0069818140853688815,75,292
0.006071320188296942,76,293
0.009626545514328372,43,15
0.005577637275988571,75,291
0.006777734986381913,75,290
0.006147266442333412,76,292
0.006777206559119412,244,365
0.008900032356045905,10,132
0.00659599012062471,76,293
0.005335991767966511,76,293
0.00610532706901527,33,176
0.006360976569992775,71,278
0.005747005293362574,76,292
0.006222961142867141,68,289
0.006029036071000679,78,296
0.006240762431930701,78,297
0.005493430406387486,68,265
0.0056270397651825635,39,222
0.00652677119893665,59,233
0.005686471880542873,141,43
0.005814230248905244,61,251
0.007986066864693666,284,400
0.00552096797237299,62,254
0.006132578479678262,28,215
0.005758281137825592,57,237
0.006203101720248277,56,236
0.015714746313724014,361,400
0.006299001866039358,64,258
0.00603346912954733,61,356
0.009739229611704215,441,90
0.006596734655677669,80,308
0.0075466439816961875,141,122
0.006047372912199988,64,262
0.006276837726341573,81,305
0.007457413914207265,144,58
0.005240614809090559,63,259
0.005919613197493299,62,253
0.0055866559397436885,74,400
0.006087179988900396,62,252
0.005520920307090938,62,252
0.005500457482550497,61,249
0.0052612643819389855,60,247
0.005693046055722494,60,244
0.005914297296646945,221,338
0.005989709198791482,59,241
0.008055790060538115,59,243
0.00664063806949275,85,206
0.00643577073958894,53,400
0.0062600162601289845,89,400
0.007335875369671577,215,400
0.005979044328654298,222,197
0.005394577002641593,79,319
0.006894933572576233,80,326
0.005966286770335249,209,244
0.006611926352279572,68,277
0.00846415066339396,210,244
0.0059543750124740336,78,307
0.0060986847410484995,78,305
0.006015397731819399,77,303
0.005682551445271806,78,301
0.005709005973790844,78,301
0.006556217381929867,427,328
0.006037681485707623,78,302
0.006590669189776909,78,299
0.005784113439617302,65,265
0.00578769284597673,65,264
0.007188182837748139,205,268
0.011743676612196037,483,342
0.0062880770086924005,65,264
0.0059582145237669325,65,265
0.006766842450970968,65,265
0.005480126396766084,83,303
0.005567317476327216,85,304
0.0060983008746484275,86,305
0.006083351448963423,86,303
0.006867614104358703,85,302
0.005661194156134371,82,298
0.005376640727855691,83,298
0.005720764614719941,84,298
0.004723274445213955,85,298
0.005629975789650206,88,299
0.006884381957608071,116,400
0.018776695261219074,456,238
0.006096711168909196,82,299
0.007475706486760234,205,244
0.00631112815098465,82,298
0.007358260873636946,82,298
0.008399707945980156,374,398
0.009638923150159477,472,94
0.006423038747253434,79,297
0.006224879872866812,79,297
0.0076402173609818646,144,138
0.006702769899130386,80,297
