Time:,55:23.4,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.111768825,6,8,222,125,0.172147887
0.025393751,4,4,263,57,0.023315952
0.014327682,2,6,166,128,0.019740562
0.019867338,2,6,104,72,0.049354249
0.037612603,8,10,297,53,0.078817092
0.141947414,6,6,258,91,0.087122917
0.018258321,6,10,108,100,0.092569063
0.044308527,6,4,263,111,0.009580553
0.056943638,10,8,286,141,0.195062815
0.07903649,6,4,186,124,0.119986189
0.013661495,2,8,133,44,0.065697257
0.044039075,6,2,177,53,0.179276071
0.0373775,8,6,105,140,0.157304915
0.087828134,6,4,158,113,0.177263569
0.102607462,8,4,141,41,0.014401531
0.028761911,8,10,238,149,0.13813781
0.221787813,10,6,206,59,0.031845667
0.118387189,10,8,195,137,0.080900042
0.018143042,4,4,182,43,0.112755803
0.045613342,8,4,143,60,0.08591021
0.011289595,10,2,283,57,0.188682198
0.051399297,8,2,151,142,0.16767847
0.376291158,4,8,173,143,0.122711627
0.05193784,8,6,242,55,0.165803495
0.04643642,8,6,116,81,0.186733909
0.118881276,6,4,214,103,0.083436906
0.029641495,8,4,224,93,0.194870982
0.038012098,8,2,144,53,0.03513727
0.035512803,6,8,213,103,0.130873783
0.035549936,4,10,139,133,0.192095613
0.010950638,6,4,152,113,0.036440907
0.018988548,6,2,168,84,0.093567976
0.116624322,8,10,203,84,0.011783508
0.014184555,2,8,102,86,0.001367832
0.037562213,6,4,224,86,0.002840906
0.116361548,6,4,206,126,0.104393291
0.036520393,6,2,182,117,0.184893545
0.011379687,6,4,229,145,0.042962375
0.047509326,10,6,252,97,0.118941681
0.020262441,4,2,206,124,0.003653843
0.015500872,2,8,118,63,0.034171539
0.081980612,6,4,100,50,0.04001807
0.087639407,6,4,125,150,0.034604013
0.02108745,2,8,118,64,0.034859377
0.023413741,6,4,148,105,0.198122601
0.030724142,6,2,105,66,0.102591395
0.010428926,6,4,219,116,0.03823517
0.01398918,6,2,125,83,0.093754819
0.125468127,6,4,220,53,0.036020167
0.03930557,6,4,287,140,0.044040824
0.022503091,6,2,213,121,0.2
0.118603392,6,4,199,123,0.039751557
0.02362409,2,8,138,95,0.028222114
0.030162385,10,2,289,58,0.191156349
0.018015784,6,2,300,150,0.000221766
0.078933781,6,2,214,150,0.045515494
0.018870992,2,8,109,73,0.027658483
0.021845586,2,6,183,72,0.026917944
0.068197564,10,6,270,150,0.2
0.019485255,2,8,146,82,0.030548892
0.014770602,2,8,131,81,0.030071268
0.020206568,6,6,100,83,0.112748323
0.018730133,4,4,190,89,0.0001
0.020092739,2,2,206,99,0.0001
0.015790151,2,6,100,40,0.044837278
0.014314913,2,4,122,82,0.006941044
0.033019837,10,2,284,54,0.2
0.015656137,4,6,100,62,0.2
0.036648812,6,10,100,83,0.110826985
0.014402411,2,2,116,80,0.006804612
0.014624979,2,2,111,78,0.0071755
0.018099292,2,4,106,76,0.007738777
0.014395178,2,4,112,84,0.005816455
0.06779827,6,10,100,100,0.166073468
0.014340116,2,6,103,86,0.004772747
0.014676239,2,4,100,87,0.004546515
0.013460538,4,2,100,77,0.007483114
0.022055809,6,2,300,145,0.0001
0.025625209,10,4,266,40,0.15998209
0.052310801,4,2,100,68,0.01030039
0.019563173,2,2,100,117,0.0001
0.019400325,4,2,300,89,0.0001
0.025712123,4,4,300,40,0.2
0.021100622,2,2,300,40,0.050215809
0.014716919,2,4,100,40,0.065391297
0.02765842,2,2,100,40,0.2
0.024647622,4,4,100,91,0.2
0.021052914,2,6,203,100,0.0001
0.016837599,2,2,100,40,0.065322972
0.021214024,2,8,160,102,0.0001
0.016949118,2,4,132,40,0.063291064
0.013435719,2,10,185,43,0.122736896
0.010718856,2,2,171,40,0.099722436
0.013635891,2,8,162,40,0.104502538
0.011332027,2,4,300,40,0.102996578
0.019871606,4,2,102,102,0.0001
0.01245866,6,4,235,124,0.031174866
0.06325794,6,2,141,96,0.042918618
0.014777457,2,4,222,40,0.104212078
