Time:,55:23.4,,,,
0.022197446,2,6,213,40,0.104953842
0.012053041,2,2,300,40,0.154545491
0.015449132,2,2,276,40,0.135686306
0.011185057,2,2,100,40,0.150407639
0.015978272,10,2,272,60,0.18049556
1.287031534,6,4,225,116,0.033288227
0.016708956,2,6,119,42,0.03819387
0.020137721,2,4,119,74,0.038090336
0.018360312,2,6,119,69,0.037975413
0.016034329,2,2,118,115,0.037862439
0.015740812,2,4,118,43,0.037736578
0.022634629,2,6,118,67,0.037609854
0.025954692,2,6,118,78,0.037464767
0.015268488,2,2,118,104,0.037322832
0.020361036,2,4,118,55,0.037173577
0.015907724,2,4,117,61,0.037008655
0.020666829,2,4,117,93,0.036847758
0.025004791,2,6,117,96,0.036705327
0.018959473,2,4,117,66,0.036552001
0.017101667,2,4,116,70,0.03637324
0.031380998,2,6,116,48,0.03620473
0.015133097,2,4,116,52,0.03604692
0.024537093,2,6,116,72,0.035860043
0.02699472,2,4,116,58,0.035705056
0.015821175,2,4,124,47,0.042684818
0.02084703,2,4,115,93,0.035517024
0.018816146,2,2,115,56,0.035368514
0.018205654,2,4,114,55,0.035402352
0.022741286,2,4,114,54,0.035079105
0.025498954,2,4,115,60,0.040703014
0.019863073,2,4,115,60,0.040627223
0.008350582,4,4,231,130,0.046525943
1.488890467,8,10,230,103,0.045303542
0.057976256,6,4,231,106,0.047408892
0.053992459,4,6,126,64,0.047032089
0.018812069,6,2,108,96,0.003248475
0.022525113,10,4,223,53,0.2
0.016712456,2,6,109,84,0.082201659
0.01725085,4,2,232,107,0.075778547
0.021665133,2,6,143,64,0.0001
0.01211231,2,4,265,68,0.074718648
0.015228716,2,2,270,143,0.069070117
0.017658597,2,6,247,57,0.068708623
0.016599227,2,2,274,118,0.035708564
0.066252441,8,4,223,82,0.2
0.015805192,2,2,230,83,0.043461126
0.018552568,2,4,266,132,0.096609927
0.016158821,2,4,258,141,0.043943945
0.019285536,2,2,285,62,0.078115688
0.018905256,2,6,245,52,0.075435272
0.016794028,2,2,274,138,0.015057797
0.02076997,2,2,247,77,0.038974359
0.029103947,2,10,283,101,0.053604022
0.014549446,2,2,219,42,0.050710892
0.015917148,2,4,254,67,0.106457456
0.018991115,2,4,235,64,0.062418855
0.017050632,2,8,117,77,0.017307983
0.020780638,2,2,248,51,0.0001
0.055163421,8,4,233,118,0.030033329
0.021623665,2,2,300,142,0.06901536
0.020390772,2,2,156,68,0.00252662
0.011012514,2,2,278,43,0.102266416
0.017102628,2,2,300,44,0.03071631
0.016584074,2,2,275,51,0.102550148
0.017060894,2,2,158,87,0.01703248
0.016396821,2,2,300,97,0.086291395
0.011778405,2,2,258,43,0.139943013
0.01256536,2,2,263,68,0.105975015
0.01738943,2,2,300,43,0.0001
0.019884488,2,2,286,45,0.036883512
0.020666339,2,2,257,52,0.167457031
0.016647387,2,2,300,146,0.115080188
0.014517208,2,2,260,62,0.100023627
0.019078565,2,2,159,73,0.0001
0.012413063,2,2,261,40,0.096469165
0.015518752,2,2,162,42,0.043927717
0.010729227,2,2,247,43,0.114687706
0.020328088,6,4,221,110,0.0001
0.018497082,10,2,100,40,0.0001
0.020633566,6,4,285,143,0.029915144
0.021895596,2,2,300,69,0.0001
0.020492991,2,2,229,135,0.05070136
0.014036913,2,2,300,68,0.065814264
0.01912937,4,2,128,88,0.088256363
0.015709701,6,4,217,139,0.049721236
0.011113738,4,2,210,53,0.118831568
0.016356543,2,2,293,90,0.051806156
0.020681959,2,10,180,92,0.078300002
0.044059694,8,10,280,133,0.122258104
0.019924078,2,10,291,99,0.154902548
0.036074081,10,2,135,117,0.175094384
0.015424606,4,10,154,63,0.055616959
0.109806146,10,10,276,91,0.003546433
0.014338723,10,10,128,48,0.000237758
0.050442209,10,10,294,68,0.090894362
0.026081494,4,10,211,130,0.165165199
0.113678189,8,2,238,97,0.024010012
0.016457479,4,10,150,132,0.146706287
0.011035459,2,2,296,51,0.2
0.013474509,4,2,202,107,0.179199569
0.009878643,4,2,281,116,0.092439892
0.011236975,4,10,168,48,0.155161164
0.017411928,2,10,188,47,0.026620662
0.130938027,8,10,191,131,0.175567214
0.022780363,4,2,204,68,0.056844815
0.012026195,4,10,218,82,0.195459066
0.033231184,8,10,136,138,0.00249577
0.029987882,10,10,249,48,0.2
0.018863176,10,2,154,69,0.147833684
0.030126168,10,2,179,47,0.03985165
0.032329264,6,10,164,59,0.001085825
0.0444489,8,10,144,130,0.02368398
0.012675333,2,10,112,73,0.156998198
0.015054415,2,2,231,145,0.0078033
0.014163254,2,2,123,44,0.146545445
0.02457804,2,10,122,92,0.036813786
0.024721756,2,2,298,40,0.2
0.050110258,10,10,152,80,0.158699315
0.02531822,2,4,218,134,0.199112899
0.019283862,2,10,266,81,0.046543504
0.024428963,10,2,164,122,0.083966104
0.097793772,8,10,148,129,0.007532775
0.025142893,2,2,146,102,0.017581309
0.014271544,2,2,138,128,0.181739038
0.016297531,10,10,236,101,0.095837618
0.022012833,8,10,182,44,0.163415796
0.036356381,8,2,222,40,0.2
0.089965597,10,2,170,71,0.009724192
0.048352723,10,2,291,149,0.166644137
0.016355688,2,10,289,93,0.088063959
0.021060847,2,4,212,70,0.066131181
0.021697007,2,2,208,136,0.132928695
0.024571811,2,10,273,88,0.046382595
0.01842831,8,10,178,128,0.000958567
0.01711121,2,10,300,40,0.0001
0.011909235,4,2,192,50,0.087167538
0.016079228,2,10,254,149,0.040698797
0.023973844,10,2,130,92,0.180799763
0.037156669,10,2,244,132,0.152833072
0.017266514,2,2,268,127,0.110922485
0.043246926,10,10,244,117,0.172268814
0.031498931,10,2,188,81,0.079656097
0.099295428,6,10,240,87,0.024656045
0.016405405,2,2,250,127,0.050901974
0.019073713,2,10,114,99,0.0001
0.03621673,2,10,120,132,0.095593698
0.015381072,10,2,166,138,0.192805255
0.020688679,2,10,268,108,0.102202847
0.104953441,10,10,246,109,0.08538882
0.011672017,2,10,264,63,0.184765981
0.019672156,4,2,194,50,0.080467569
0.165067564,10,6,282,141,0.076374207
0.016296572,2,2,280,122,0.046037016
0.021111015,2,10,284,147,0.0001
0.063785951,10,10,216,107,0.010178632
0.038756208,10,10,167,144,0.188026302
0.018267194,2,10,262,101,0.198451941
0.010935891,2,10,156,84,0.160494675
0.985259921,8,10,104,61,0.075575528
0.020304467,2,4,104,141,0.167720333
0.023566421,2,6,102,101,0.198734678
0.026052382,4,10,124,41,0.109096188
0.014585737,2,8,101,104,0.006819318
0.018156665,2,6,129,132,0.164212553
0.022398023,2,6,155,93,0.176511727
0.022589931,2,10,251,138,0.165987307
0.016900306,2,4,295,110,0.15356899
0.025117439,4,10,200,58,0.156785376
0.038437823,10,6,180,118,0.003591728
0.014481149,2,10,126,85,0.160927134
0.017426517,2,6,249,48,0.081254301
0.017271339,4,10,198,84,0.030408671
0.015045771,2,6,168,63,0.185280289
0.047331807,8,4,224,71,0.112328407
0.185799731,8,4,224,72,0.079307703
0.054106127,4,6,145,144,0.16734583
0.022197443,2,10,142,90,0.117941511
0.654864782,10,10,161,125,0.062155125
0.011828584,2,6,162,69,0.153671867
0.029268207,4,6,160,80,0.023585911
0.02024109,2,8,163,64,0.024483788
0.06129744,10,2,300,40,0.099984466
0.021141775,2,8,159,79,0.016016507
0.0174901,2,6,136,73,0.012904954
0.042999599,10,10,300,40,0.109158991
0.020716236,2,6,290,102,0.14142707
0.016859704,2,6,150,71,0.000778044
0.251025004,10,6,273,51,0.071481632
0.01800689,2,6,298,139,0.074685896
0.028251365,2,2,252,66,0.162700163
0.025987794,4,2,163,140,0.054930051
0.024935416,2,10,271,60,0.146477438
0.016611361,2,6,293,150,0.036062661
0.01949366,4,10,100,150,0.0001
0.065253781,10,10,110,125,0.004004888
0.041911745,10,6,210,100,0.115715827
0.064964762,10,6,237,138,0.133100344
0.02801638,10,6,188,130,0.19030644
0.143268227,10,10,130,118,0.184889337
0.021379245,2,6,131,63,0.080742582
0.025351958,4,2,197,121,0.054602186
0.145556411,4,8,127,83,0.044331462
0.018611141,4,10,270,149,0.010350877
0.013949898,2,6,123,72,0.117226808
0.017125996,2,6,278,148,0.091937981
0.021221405,4,2,244,145,0.054468939
0.01663615,2,2,241,117,0.048447481
0.019784835,2,6,153,106,0.162127619
0.018487333,2,2,173,68,0.07210547
0.133689727,10,8,300,150,0.101274406
0.136108531,4,10,100,40,0.012304995
0.029373252,4,2,200,132,0.05450586
0.017580586,2,10,100,40,0.2
0.011739064,2,10,117,52,0.178930097
0.029410217,8,2,196,40,0.142873435
0.015521565,2,10,110,44,0.064434146
0.016144953,4,2,234,97,0.054581445
0.012643824,2,8,300,150,0.058267953
0.012410754,2,10,300,40,0.178167115
0.016428946,4,2,100,40,0.150495101
0.01222641,4,2,258,103,0.054499943
0.016345528,2,10,100,40,0.2
0.017289117,2,4,223,108,0.032948576
0.021335335,2,4,105,117,0.160409811
0.028342227,4,2,169,135,0.2
0.247525614,10,2,255,133,0.022662938
0.021672184,2,8,300,40,0.057725691
0.01990476,8,6,233,150,0.0001
0.015953918,2,2,100,40,0.183458583
0.012409267,2,2,100,40,0.092020267
0.025469776,4,2,285,124,0.054611731
0.012712184,2,10,300,40,0.186730908
0.015076881,4,2,174,40,0.098589059
0.019314993,6,8,155,74,0.0001
0.064039134,10,10,100,40,0.140742716
0.01272509,2,10,100,40,0.170370166
0.024035468,6,2,106,45,0.147048497
0.022214494,2,2,100,40,0.119453417
0.022454461,10,2,300,40,0.09419436
0.011561163,2,2,100,40,0.147829923
0.016910246,6,4,223,64,0.0001
