Time:,53:43.6,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.017307446,6,10,254,84,0.0001
0.015433578,4,4,161,40,0.024044641
0.021859128,6,2,238,77,0.0001
0.151156258,10,2,245,73,0.005383038
0.105040469,10,2,137,56,0.040043611
0.009882999,4,6,170,70,0.081479853
0.109452102,6,10,257,125,0.081884524
0.040840724,6,4,300,150,0.140825396
0.059914822,8,2,180,115,0.010318552
0.057870338,8,2,100,122,0.074473507
0.048777505,8,2,300,150,0.2
0.047062054,6,10,100,150,0.2
0.011814685,4,10,171,40,0.068701237
0.145854879,10,2,100,117,0.2
0.062310983,10,10,300,150,0.2
0.052459862,6,2,147,66,0.2
0.130467141,10,2,300,92,0.02816027
0.021541875,6,10,142,51,0.2
0.029759468,2,10,166,90,0.115313262
0.020261861,10,10,167,102,0.2
0.018882233,4,10,300,150,0.0001
0.012694352,4,6,170,40,0.006833875
0.041402237,10,4,245,54,0.2
0.016244842,2,8,169,40,0.098751459
0.057681776,10,2,300,117,0.2
0.011460359,2,4,221,78,0.18058687
0.023197404,4,10,153,109,0.2
0.01478313,2,8,227,80,0.168175682
0.019221923,4,2,100,150,0.0001
0.123539573,10,6,300,120,0.170732084
0.024106848,4,6,161,40,0.199877854
0.019204426,4,10,100,150,0.0001
0.033687866,2,6,213,75,0.2
0.04746271,8,10,300,150,0.2
0.027226666,8,10,100,150,0.140012957
0.03924368,6,8,100,150,0.166681265
0.017899175,2,10,233,81,0.000382067
0.015572669,2,10,173,43,0.2
0.011444619,2,10,162,40,0.2
0.010974282,2,10,169,40,0.2
0.011451657,2,6,170,40,0.2
0.019297458,2,10,187,40,0.000205107
0.011451661,2,10,193,40,0.2
0.019069402,6,2,145,150,0.0001
0.019057091,4,6,172,40,0.0001
0.072043987,4,10,258,95,0.19973725
0.024371396,4,10,173,40,0.15176808
0.020094268,2,10,100,150,0.0001
0.03840682,4,2,172,40,0.195579318
0.021293432,2,2,208,73,0.2
0.069640496,10,2,100,40,0.2
0.078368032,4,8,174,40,0.060635909
0.020918113,4,8,241,92,0.128898328
0.026287039,2,8,157,50,0.109560474
0.0452571,6,10,300,150,0.173057287
0.102504484,10,4,196,40,0.126788948
0.069662301,6,2,286,40,0.080230777
0.021799441,2,2,277,150,0.111279814
0.045212205,10,2,142,113,0.128042845
0.027984432,4,4,194,69,0.2
0.023374139,2,10,260,150,0.049643224
0.06038931,6,2,300,40,0.042737601
0.017861071,2,10,255,137,0.2
0.017460411,2,8,252,116,0.050259524
0.024153193,4,10,167,40,0.063779061
0.020240332,10,6,143,141,0.0001
0.019874816,2,8,275,60,0.2
0.104591924,6,10,220,150,0.158258575
0.04240749,4,4,125,81,0.2
0.01858147,2,10,251,150,0.112141736
0.019786666,6,8,122,132,0.0001
0.028929093,6,10,159,73,0.160380544
0.046487551,6,10,100,77,0.177289985
0.019006381,10,2,282,141,0.0001
0.013424658,2,10,259,110,0.095214384
0.024529694,6,4,292,47,0.065642613
0.013017558,4,2,166,72,0.042885411
0.100795169,10,2,251,61,0.135133217
0.047900384,10,8,236,54,0.164456548
0.0189686,2,2,245,40,0.096773289
0.065424341,10,8,143,40,0.108069487
0.017838018,4,8,218,50,0.0001
0.015928203,2,10,110,102,0.2
0.110493604,10,6,122,103,0.108447075
0.019031366,2,8,289,70,0.0001
0.025131712,2,2,129,62,0.16671647
0.020051425,4,8,108,86,0.0001
0.018911432,2,6,295,100,0.0001
0.020029555,8,10,272,141,0.0001
0.016873965,6,4,189,127,0.2
0.022786467,2,4,279,100,0.2
0.020210331,8,6,126,148,0.0001
0.031548898,6,8,238,122,0.106156626
0.019523893,2,4,252,44,0.090976453
0.019596915,2,10,250,119,0.0001
