Time:,7:29:23.058426,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch Size,Learning rate
0.03381062299013138,16,84,129,0.0010012692086122084
0.046230245381593704,16,60,118,0.029981567552556956
0.05909425765275955,17,357,48,0.043707833984287764
0.041739221662282944,16,108,164,0.09990283598472505
0.05063455179333687,16,53,142,0.09683932109167731
0.06585873663425446,17,90,155,0.09749619799663042
0.07166878134012222,17,45,124,0.09960373164233399
0.05727817863225937,17,89,128,0.04730308567440624
0.048415955156087875,17,378,246,0.004981866869894664
0.043746218085289,3,55,132,0.09805981268103044
0.04715970903635025,16,111,137,0.09685557156185852
0.08728859573602676,16,72,135,0.09722889000671107
0.04859587177634239,9,95,134,0.09762736890696637
0.04674145206809044,9,107,132,0.09957390395388833
0.0907931700348854,11,109,129,0.09964143132920365
0.04708187282085419,17,270,211,0.0015279423072136293
0.08121608942747116,16,113,138,0.09542081672943883
0.08889232575893402,18,252,230,0.06568664327814713
0.058240123093128204,18,172,230,0.08425790952922006
0.05340051278471947,18,71,233,0.06546020164036544
0.061997152864933014,20,126,133,0.09742922993563442
0.052189283072948456,9,238,76,0.09994761653632171
0.04082981497049332,11,364,218,0.001268414850612086
0.052969470620155334,3,143,25,0.08356732148999203
0.05573548004031181,18,299,300,0.08737165129186676
0.05988701432943344,15,70,166,0.0966872103245533
0.06602349877357483,18,311,46,0.07211415352723555
0.0413740836083889,1,399,204,0.01020288098252993
0.04017600044608116,1,356,219,0.012096221165800352
0.03833318129181862,6,396,181,0.010649251827692875
0.03882821649312973,6,358,213,0.014505149841358395
0.03724008426070213,11,364,209,0.016274128574233018
0.06656312197446823,14,391,209,0.01758098521702757
0.04209712892770767,11,362,226,0.009964633423985382
0.051443424075841904,11,361,210,0.018986692343107067
0.04105038568377495,20,205,203,0.012578219348913483
0.08242378383874893,13,386,207,0.010347971346806267
0.045282308012247086,8,375,170,0.01007027179909217
0.04682709276676178,17,264,203,0.010375463359698467
0.10969138145446777,11,369,171,0.011003974381273228
0.060343366116285324,10,354,172,0.010846270929587641
0.0713011845946312,11,355,192,0.010570168426125378
0.16156500577926636,11,375,176,0.015173243507720873
0.04493214190006256,12,282,174,0.000916962089510041
0.07064604759216309,8,386,194,0.01737410497369321
0.04726414754986763,11,399,153,0.004501595472025757
0.04182835668325424,11,357,156,0.0009619348651997952
0.03766602277755737,8,376,175,0.01618213454029542
0.03723644092679024,11,385,185,0.0003910628769575121
0.09868285804986954,11,390,159,0.01956534421187497
0.0716586783528328,7,379,183,0.012797214843000953
0.0597926527261734,11,382,172,0.007316049294068353
0.03779929131269455,11,400,175,0.0004924573690066452
0.052734311670064926,9,374,177,0.03051561547229204
0.10226213186979294,9,374,140,0.01606013783793266
0.08082345873117447,12,379,176,0.009446901842293385
0.054090145975351334,11,365,185,0.026734864950334284
0.06696669012308121,20,379,169,0.02545862664563745
0.11522503197193146,10,374,205,0.018569194029805898
0.08969815075397491,10,367,221,0.01564086450640247
0.08047397434711456,12,375,172,0.0027884650208160333
0.05482958257198334,11,374,299,0.014500143684901773
0.03787662461400032,10,375,170,0.0005697103435926645
0.0798281878232956,11,362,158,0.01450006134063596
0.033146243542432785,12,373,131,0.0002962883539797484
0.058698464184999466,11,350,176,0.016383379523821174
0.051813092082738876,11,379,175,0.03249355633978414
0.05966478958725929,11,400,48,0.013196013355541025
0.03692842647433281,11,367,176,0.02020096285098077
0.04452691227197647,11,368,167,0.00150511083916766
0.07179129868745804,11,375,149,0.024235929558287735
0.049721647053956985,11,369,223,0.01652300587935772
0.0456991009414196,11,368,178,0.015007191215620257
0.03899934142827988,6,374,199,0.015524906505115347
0.06986024975776672,11,373,203,0.013136065140208906
0.054012566804885864,9,370,207,0.01634019971793901
0.08643528074026108,11,397,181,0.01268369405438364
0.074399434030056,11,377,179,0.04103546920204522
0.038278527557849884,11,305,173,0.015511538768765211
0.06734880805015564,11,374,172,0.022748166107269215
0.049810852855443954,14,376,185,0.0012450201429104345
0.06923691928386688,19,373,178,0.013941548992437382
0.1288989931344986,9,383,173,0.01601258878273028
0.04151969030499458,10,392,195,0.0006311827932492627
0.046260036528110504,6,388,213,0.013055179672049878
0.07487650215625763,8,392,175,0.0182587603390124
0.08234790712594986,15,376,175,0.01662591077813483
0.039140235632658005,6,375,125,0.015174232879124604
0.0667685717344284,5,390,153,0.018585759001976752
0.05125753581523895,7,375,142,0.018517451923015345
0.05915583670139313,9,376,116,0.0013553411795908278
0.10580950975418091,11,377,255,0.013916903906923826
0.032509397715330124,9,381,135,0.00027751508864479353
0.07371826469898224,6,380,228,0.019240069000002136
0.15170606970787048,12,374,50,0.015013241655957762
0.04601092264056206,14,338,51,0.00027371116595069703
0.0493626594543457,13,369,60,0.0009670536008467949
0.11695091426372528,12,367,55,0.027530727074285135
0.05447394400835037,12,379,49,0.0011462997175684534
0.03815752640366554,9,360,50,0.00012184319570323963
0.04516099393367767,11,374,67,0.0004938051153765326
0.05709288269281387,12,52,49,0.016908864693629802
0.04448208957910538,12,386,48,0.005479330947014244
0.07815618067979813,11,362,41,0.014988643059839983
