Time:,0:37:12.428253,Eff. time:,4:57:39.426024,Size:,200,Cores:,8,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,HN,Epochs,Batch size,Learning rate
0.05185030773282051,1.0,200,80,0.0001
0.0820508673787117,2.0,200,80,0.0001
0.062397297471761703,3.0,200,80,0.0001
0.08030278235673904,4.0,200,80,0.0001
0.04210708290338516,5.0,200,80,0.0001
0.039223287254571915,6.0,200,80,0.0001
0.04257825016975403,7.0,200,80,0.0001
0.036611612886190414,8.0,200,80,0.0001
0.04090632125735283,9.0,200,80,0.0001
0.039600640535354614,10.0,200,80,0.0001
0.04066846892237663,11.0,200,80,0.0001
0.03670297935605049,12.0,200,80,0.0001
0.037897203117609024,13.0,200,80,0.0001
0.03962603211402893,14.0,200,80,0.0001
0.03794499486684799,15.0,200,80,0.0001
0.03697039559483528,16.0,200,80,0.0001
0.03795942664146423,17.0,200,80,0.0001
0.0394950732588768,18.0,200,80,0.0001
0.03682752698659897,19.0,200,80,0.0001
0.04206551983952522,20.0,200,80,0.0001
1.397910475730896,1.0,200,80,0.0001
0.06565506011247635,2.0,200,80,0.0001
0.12071429193019867,3.0,200,80,0.0001
0.03281020000576973,4.0,200,80,0.0001
0.03773915395140648,5.0,200,80,0.0001
0.037519391626119614,6.0,200,80,0.0001
0.04300724342465401,7.0,200,80,0.0001
0.038746945559978485,8.0,200,80,0.0001
0.031057696789503098,9.0,200,80,0.0001
0.03758613020181656,10.0,200,80,0.0001
0.037255026400089264,11.0,200,80,0.0001
0.03624321520328522,12.0,200,80,0.0001
0.042859386652708054,13.0,200,80,0.0001
0.03644609823822975,14.0,200,80,0.0001
0.03976045548915863,15.0,200,80,0.0001
0.03737269341945648,16.0,200,80,0.0001
0.03524331748485565,17.0,200,80,0.0001
0.03861541301012039,18.0,200,80,0.0001
0.03535999730229378,19.0,200,80,0.0001
0.03594885393977165,20.0,200,80,0.0001
0.08506707847118378,1.0,200,80,0.0001
0.12214308977127075,2.0,200,80,0.0001
0.050363313406705856,3.0,200,80,0.0001
0.03866996243596077,4.0,200,80,0.0001
0.050131555646657944,5.0,200,80,0.0001
0.04093370586633682,6.0,200,80,0.0001
0.04033955559134483,7.0,200,80,0.0001
0.03697842359542847,8.0,200,80,0.0001
0.0452466681599617,9.0,200,80,0.0001
0.04137209430336952,10.0,200,80,0.0001
0.032850347459316254,11.0,200,80,0.0001
0.036292146891355515,12.0,200,80,0.0001
0.0381786972284317,13.0,200,80,0.0001
0.038831792771816254,14.0,200,80,0.0001
0.03782432898879051,15.0,200,80,0.0001
0.03959744796156883,16.0,200,80,0.0001
0.039704181253910065,17.0,200,80,0.0001
0.03813629597425461,18.0,200,80,0.0001
0.03728368505835533,19.0,200,80,0.0001
0.03706696256995201,20.0,200,80,0.0001
0.09382132440805435,1.0,200,80,0.0001
