Time:,7:21:15.252470,Samples,16,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate
0.04066623649631478,0.008557179083616358,0.2947131358087063,0.029757485553079315,15,164,368,0.005955555973833074
0.02913763462418225,0.002798614734111147,0.3550984710454941,0.017769616539688924,26,31,120,0.007511287108585775
0.02565411235585917,0.005010269735174748,0.39001230895519257,0.04651791254188338,6,24,9,0.0013189197029000728
0.03248747523451315,0.002357944275149692,0.49895498156547546,0.10067214730406833,11,161,60,0.00013453726838938207
0.15488244313239893,0.09898665134557813,1.8190480135381222,1.1624049367471518,14,5,175,0.0003689444695466026
0.03342120022614728,0.0025840316139689543,0.707906998693943,0.2108530560146552,22,178,592,0.00018631197194335489
0.028843561441886705,0.005554785923426504,0.34689570777118206,0.032437596246521185,12,91,323,0.00659546125322029
0.040184342095597014,0.007320850969333424,0.28267282247543335,0.0179060866070026,15,88,342,0.016993938107329822
0.052199734208124404,0.015598349962781102,1.454402880743146,0.7341266193347232,2,110,278,0.0007349772412304717
0.04083452732283453,0.0051537235254759325,0.8387215491384268,0.3203972866286543,11,163,388,0.00012856707022799833
0.04178474493077813,0.008048739219116146,0.27895860001444817,0.014216755717307062,30,138,558,0.012960260316222985
0.028640260086402962,0.0027641309667155328,0.40908040665090084,0.03061217976566414,29,80,158,0.000976767461232582
0.04762984473002638,0.011525319350780341,0.2264065332710743,0.00727693387148425,23,120,49,0.004180016227636683
0.10883993722680947,0.08845348177561399,1.5960493721067905,1.0384703270113074,6,7,198,0.0012313062309039654
0.03346478040096989,0.005633518902750467,0.30738985165953636,0.034196242531490256,3,77,72,0.011547256338912945
0.058715977293075206,0.01439306880747742,0.20913137309253216,0.010521407886402592,23,76,16,0.012188629394106884
0.02990110900203221,0.0025714919721969,0.42178503051400185,0.03264040502343035,24,124,128,0.0004705440411581136
0.03292880124685082,0.0019279660682500147,0.4827299118041992,0.04773553293627029,20,177,403,0.0005735950365157129
0.034573366360986305,0.0023268208951819896,0.7126588430255651,0.21407067944341487,7,3,44,0.004784984607731768
0.03029769266447959,0.00526357896469109,0.35125006549060345,0.026408106301245852,29,138,594,0.0038809690706627788
0.0340824796235487,0.001742024295595346,0.4833774007856846,0.04983724381636896,28,117,319,0.0002443912167106891
0.03236821174896024,0.003415054184749074,0.5600486658513546,0.112374805136726,6,188,431,0.0012489323916602226
0.03388066457176085,0.0011650611574439767,0.508805688470602,0.09500739959060736,27,81,104,0.00020107100007631538
0.036209552504044944,0.001502352745730407,0.5312608554959297,0.09804267907455276,13,6,339,0.006296867269712682
0.03389043321095797,0.0021435908506875906,0.5526146627962589,0.09551562239478056,9,44,107,0.000972194621700371
0.10611959321766172,0.06290319686646546,1.3964213319122791,0.7227642264249385,29,10,550,0.00023211483258245272
0.030438759396307833,0.0027622971735111156,0.31588525511324406,0.01160584443706965,28,153,33,0.00038428147777035934
0.0413738037151046,0.008128034318962592,0.2353487480431795,0.00716659743459409,28,168,95,0.003885940793576492
0.03805811744135381,0.005400055772738401,0.31397812627255917,0.02634772828765524,12,188,368,0.004066538802605202
0.06696231733207926,0.015618778835015135,0.22102493233978748,0.007509558427016889,16,143,81,0.008079737652734871
0.027015991385431818,0.0025376593866554787,0.3455373179167509,0.01702330163600212,23,92,48,0.0007217576615726729
0.027894803818243642,0.0028655189254503293,0.33984291926026344,0.024205829065971077,28,84,141,0.0020763700876495054
0.034089398944981586,0.00203639342290925,0.6752080228179693,0.17508914183153232,18,84,376,0.000321410606351311
0.027838772671181112,0.004209704253181246,0.377843851223588,0.03430619551229771,19,96,585,0.006007045084123213
0.16412939715667377,0.17867355689519276,2.855376061052084,2.4254516577123373,2,45,73,0.00025311081157219456
0.027090375312834883,0.003738795060984423,0.39989187754690647,0.045684323275647525,13,132,340,0.0020387621213626564
0.03533234842234517,0.0029345015551107117,0.6856141705065966,0.2467141996752262,20,74,571,0.0002836447653754661
0.02647537411354549,0.0025282172508267393,0.3975144065916538,0.019184898617360058,26,192,229,0.0005774230672374153
0.026282351403787426,0.002502968929786737,0.41268069855868816,0.041668145928424716,9,133,110,0.0007362545007537877
0.1849993447726736,0.19075307028656177,3.519550373777747,2.9767893267406196,1,68,241,0.0011909705760463822
0.02741432482652129,0.0024090082642991084,0.4106498546898365,0.029710759529407906,20,199,311,0.000848637651390258
0.32800557963946564,0.3270544312595678,3.365840520709753,3.2789837326504667,3,10,377,0.0001043675905554963
0.13880526144174632,0.06835219594297261,1.6652252301573753,0.6618871860857186,13,2,255,0.0006835559579093636
0.0418904340757635,0.007421593083344359,0.24185072723776102,0.006972704695164208,19,84,9,0.000893572540230821
0.03395106569980623,0.0017755798098884768,0.6251724362373352,0.1896419670916705,7,106,468,0.0015867562387692406
0.03476667932709801,0.001174753398069079,0.5727962106466293,0.12939299126068363,16,14,246,0.0041508300815723065
0.03796552106452197,0.004752470511209703,0.3027819748967886,0.019647784020121007,28,110,200,0.0030198776704101747
0.033713162189005524,0.0009441834629006784,0.530168617144227,0.07821650633286575,29,44,543,0.0016455482578720184
0.03374558979636349,0.001401249407314787,0.46893749944865704,0.062403049062707,23,105,357,0.0007132944246863715
0.2095367987892739,0.15051056814747196,2.3089825995266438,1.5337691676499152,3,106,456,0.00010987729389514493
0.05435026307773571,0.012181916099776546,0.2739009875804186,0.015338790382143691,3,26,1,0.02
0.03656676098325328,0.0009071745493272831,0.5211561545729637,0.10132157791385797,1,137,157,0.010875092945759111
0.051042293139038394,0.008037194207764714,0.22534548211842775,0.006941280292025988,13,34,1,0.001871662740860305
0.05425581118645479,0.015341896070687049,0.21750086452811956,0.012086330864570028,8,56,1,0.005409953286523371
0.05415972552487339,0.01862158967945724,0.2022059541195631,0.005978658989313034,11,200,1,0.00045404089671941634
0.03360795730194897,0.0011384735842914348,0.4930368699133396,0.07236865043044424,18,134,585,0.0008504548963473763
0.03678120522743072,0.001644214204819436,0.8383112512528896,0.7264296527499489,1,125,67,0.0021572215217442237
0.03020774476219991,0.003160372065156931,0.36784266866743565,0.018179280262485192,12,1,1,0.02
0.05925727459212497,0.011932126318025482,0.20125881116837263,0.00902133016696352,8,130,1,0.0017821747190672756
0.03701211682464953,0.0017248419847060814,0.5973517224192619,0.10628246211680445,1,200,600,0.02
0.03323816843057567,0.0016369866070009606,0.4850407112389803,0.06105133674807119,21,121,502,0.0007943594971578204
0.03148155006478378,0.005947074292229274,0.6479550842195749,0.31186767229840173,4,132,330,0.0018160768688243241
0.03318930118773644,0.0023527987150020273,0.4834047518670559,0.03702716959087599,24,23,600,0.02
0.026072207011627047,0.004082686204202595,0.43012890592217445,0.060904666316504506,8,148,438,0.002726039510476992
0.03793329099761735,0.004624733241053181,0.23447742965072393,0.003898549540704895,30,200,1,0.0001
