Time:,0:19:41.096233,Samples,16,Size:,16,Cores:,4,CPU:,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.0407452775569904,0.0072770815872756625,0.02739242126699537,0.0017708227494946619,8,4,510,50.0,0.00015
0.02963905354777397,0.006042866005088317,0.031986206537112594,0.0038114843016643727,8,4,510,100.0,0.00015
0.023548682938952424,0.0028802160090875746,0.035048862686380744,0.003597782698819753,8,4,510,150.0,0.00015
0.02157234645895914,0.0017897926260493763,0.04409482912160456,0.02194807978623369,8,4,510,200.0,0.00015
0.02381739229306965,0.003430515437347466,0.03894150326959789,0.004039059507743491,8,4,510,250.0,0.00015
0.024108597172928303,0.004049753793510791,0.0384934744797647,0.005785178529511355,8,4,510,300.0,0.00015
0.02443379206852133,0.003232532164260383,0.04863976244814694,0.021982949063638634,8,4,510,350.0,0.00015
0.029188990206419855,0.0027535716149659365,0.0474891874473542,0.011321578542643146,8,4,510,400.0,0.00015
0.027204975245631348,0.0037823021043768804,0.045185150345787406,0.01563399988977092,8,4,510,450.0,0.00015
0.02899634219608664,0.002291179117843661,0.04402091074734926,0.011010800600482705,8,4,510,500.0,0.00015
0.02899275507325487,0.0024042327925148546,0.04463939811103046,0.010144027676850367,8,4,510,550.0,0.00015
0.029911167513381395,0.0014059420840074745,0.0523488272447139,0.021580147889602636,8,4,510,600.0,0.00015
0.03063860802028207,0.0006322859633749977,0.04883190616965294,0.007626909389924463,8,4,510,650.0,0.00015
0.03050095505960946,0.0012898163953053944,0.05155291361734271,0.014659368859829288,8,4,510,700.0,0.00015
0.030525213009251435,0.0013192425268102254,0.05523005686700344,0.02683786548440445,8,4,510,750.0,0.00015
0.03079287768082173,0.0006090960770368539,0.06229353626258671,0.029484213370561434,8,4,510,800.0,0.00015
