Time:,37:17.1,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.020553294,0.001260441,0.04019302,0.00863503,8,4,541,200,0.000148655,
0.020601126,0.001412052,0.038101941,0.006529768,8,4,542,200,0.000148185,
0.020621942,0.001191714,0.036707525,0.002715604,8,4,544,200,0.000147682,
0.020623429,0.001230099,0.036265214,0.003284908,8,4,541,200,0.000148734,
0.020624371,0.001368064,0.038943811,0.004740758,8,4,539,200,0.000151335,
0.020655325,0.001436139,0.041686724,0.009790272,8,4,541,200,0.000148904,
0.020702758,0.001253285,0.036306243,0.004922639,8,4,541,200,0.000148657,
0.020781489,0.001092488,0.039296242,0.007166654,8,4,544,200,0.000148699,
0.020792455,0.001088888,0.039127619,0.006896188,8,4,540,200,0.000149169,
0.020852866,0.001694717,0.040756947,0.00803737,8,4,545,200,0.000148662,
0.020856844,0.001523885,0.039898558,0.008402111,8,4,541,200,0.000148644,
0.020878284,0.00123845,0.037686232,0.004467339,8,4,518,200,0.000145189,
0.020881702,0.001443703,0.037137379,0.003514464,8,4,541,200,0.000148713,
0.020926819,0.001459418,0.0379077,0.005863493,8,4,541,200,0.000148631,
0.020931704,0.002132883,0.037453091,0.004600364,8,4,542,200,0.000148219,
0.020977996,0.001622889,0.037703515,0.00651026,8,4,541,200,0.000148416,
0.020980235,0.001462608,0.036394194,0.00261829,8,4,541,200,0.000148592,
0.020980715,0.001840886,0.037805588,0.003485964,8,4,544,200,0.000148218,
0.020981517,0.001371837,0.036224659,0.002902624,8,4,541,200,0.00014841,
0.021001585,0.002317787,0.039154031,0.008782245,8,4,529,200,0.000145992,
0.021015149,0.001577484,0.04112031,0.012160284,8,4,546,200,0.000147265,
0.021023402,0.001941745,0.038762993,0.007535743,8,4,541,200,0.000148578,
0.021033041,0.001110289,0.038084011,0.006218364,8,4,543,200,0.000148507,
0.021045487,0.001413466,0.045774106,0.024718155,8,4,542,200,0.000152955,
0.021048057,0.001602833,0.036504362,0.002865201,8,4,543,200,0.000147967,
0.021053211,0.003182722,0.04000427,0.008363447,8,4,541,200,0.000148736,
0.021072604,0.002000523,0.036399271,0.002480594,8,4,526,200,0.000144638,
0.021086134,0.002168413,0.038449854,0.005878118,8,4,544,200,0.000147881,
0.021095473,0.001446131,0.037242957,0.004107219,8,4,542,200,0.000148089,
0.021108245,0.002373679,0.039250302,0.004438928,8,4,541,200,0.000148476,
0.021174704,0.002516938,0.037964711,0.003924097,8,4,540,200,0.000152387,
0.021192823,0.001493917,0.037453972,0.005068699,8,4,542,200,0.000148817,
0.021195349,0.003394003,0.03815619,0.008833069,8,4,539,200,0.00015112,
0.021202685,0.00118099,0.035966301,0.002961121,8,4,541,200,0.000148766,
0.021209236,0.002171513,0.039570518,0.008032368,8,4,541,200,0.000148722,
0.02122718,0.002898097,0.039719481,0.004035657,8,4,542,200,0.000148282,
0.021243722,0.001547905,0.043922945,0.014462485,8,4,545,200,0.000147619,
0.021254351,0.001730723,0.03700497,0.006913416,8,4,538,200,0.000150966,
0.021255821,0.001618003,0.039967835,0.011361276,8,4,541,200,0.000148746,
0.021258524,0.002548288,0.044871114,0.017912108,8,4,541,200,0.00014859,
0.021282782,0.002229678,0.04081107,0.007937908,8,4,543,200,0.000148619,
0.021292398,0.001389328,0.038598786,0.008901676,8,4,541,200,0.000148774,
0.021315642,0.001600743,0.038824834,0.005794737,8,4,541,200,0.000148669,
0.021319196,0.001736288,0.038886922,0.006644974,8,4,541,200,0.000148672,
0.021324567,0.002401814,0.037102425,0.004382348,8,4,530,200,0.000142766,
0.021327456,0.001851313,0.037153408,0.004019023,8,4,541,200,0.00014875,
0.021330827,0.001040598,0.039674581,0.007457422,8,4,543,200,0.000148401,
0.021338544,0.001365799,0.036347723,0.003705143,8,4,533,200,0.000148399,
