Time:,21:15.3,Samples,16,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.024809387,0.001255528,0.367218025,0.014366877,30,141,77,0.000442914,,
0.024815394,0.003260952,0.372530263,0.03306271,15,123,280,0.002211322,,
0.02495934,0.001932833,0.362831023,0.016049134,30,139,69,0.000452368,,
0.024998814,0.001612788,0.37699559,0.029553592,24,84,64,0.000688655,,
0.02504171,0.001972487,0.372798152,0.017795165,24,84,70,0.000778952,,
0.025132512,0.002091561,0.366190946,0.027817154,24,84,71,0.000714269,,
0.025159669,0.002687452,0.364458576,0.030514875,24,85,77,0.000893378,,
0.025175147,0.001956971,0.370572073,0.019325196,30,143,72,0.000452925,,
0.025184736,0.00191289,0.37704446,0.025730495,24,83,61,0.00063276,,
0.025199351,0.004086781,0.368518854,0.032598797,22,125,600,0.004399318,,
0.025211594,0.002213293,0.37050024,0.028361498,24,84,73,0.000722484,,
0.025299534,0.002878873,0.393862354,0.052518216,11,200,600,0.002586038,,
0.025394992,0.001402691,0.380739398,0.025662852,24,84,71,0.000673335,,
0.025488077,0.002241886,0.366321726,0.029493951,24,84,73,0.000726839,,
0.02550066,0.002221827,0.394549852,0.031336006,24,84,72,0.000715765,,
0.025654112,0.00501027,0.390012309,0.046517913,6,24,9,0.00131892,,
0.025685387,0.002729562,0.357019037,0.020039778,26,37,213,0.00929029,,
0.025723195,0.003231982,0.392059857,0.021409697,27,41,232,0.006781312,,
0.025758742,0.002447254,0.432303641,0.075515047,8,116,135,0.001004973,,
0.025798208,0.00227626,0.384435955,0.028785439,24,84,74,0.000720875,,
0.02582133,0.002458862,0.381855782,0.021014141,24,84,73,0.000722601,,
0.025838473,0.003544512,0.393540081,0.029272327,24,144,600,0.002428103,,
0.025863436,0.001749194,0.359174225,0.019740349,30,139,80,0.000471134,,
0.025920719,0.002734543,0.372156898,0.02471939,24,84,75,0.000724399,,
0.025971315,0.00175358,0.386938015,0.023513697,24,83,61,0.000626068,,
0.02605483,0.002168454,0.376077684,0.016255273,24,84,74,0.00072852,,
0.026071584,0.002311475,0.401858326,0.055975736,10,121,141,0.001006999,,
0.026072207,0.004082686,0.430128906,0.060904666,8,148,438,0.00272604,,
0.026256093,0.003452784,0.373529961,0.031057729,15,124,280,0.002202461,,
0.026282351,0.002502969,0.412680699,0.041668146,9,133,110,0.000736255,,
0.026282869,0.001807867,0.377237601,0.036033012,29,140,83,0.000447021,,
0.026360994,0.004051408,0.400534678,0.060042004,11,200,600,0.002488148,,
0.026368246,0.0018754,0.365945598,0.023716231,30,144,68,0.000438227,,
0.02638257,0.002522143,0.383484298,0.025202591,27,42,281,0.00679179,,
0.026424998,0.002467688,0.376465447,0.030233139,24,84,62,0.000686755,,
0.026475374,0.002528217,0.397514407,0.019184899,26,192,229,0.000577423,,
0.0265109,0.003335372,0.383193895,0.021642486,27,42,271,0.006701321,,
0.026515393,0.002761493,0.389018472,0.034840258,26,42,221,0.006426441,,
0.026517117,0.002047017,0.35588678,0.027238755,24,87,83,0.000984337,,
0.026530696,0.002737622,0.403860446,0.051437287,14,119,254,0.00178564,,
0.026598642,0.002435468,0.375984149,0.018504627,30,143,79,0.000431513,,
0.026633977,0.002512065,0.381318059,0.029474654,26,45,221,0.005893349,,
0.026694574,0.002495883,0.389550192,0.032843296,24,84,75,0.000708625,,
0.02680057,0.002068153,0.363653934,0.029643763,24,79,84,0.000981623,,
0.026833672,0.003126866,0.404241325,0.027844956,27,39,324,0.008012249,,
0.026937836,0.004061676,0.437170412,0.090460533,9,200,492,0.002004001,,
0.026946358,0.002059863,0.339564258,0.022718601,30,143,77,0.000556422,,
0.026961442,0.00148694,0.389344946,0.020205519,30,141,75,0.000350715,,
0.026995969,0.003959765,0.498063581,0.154318041,9,113,177,0.001276331,,
0.027015991,0.002537659,0.345537318,0.017023302,23,92,48,0.000721758,,
0.027017321,0.002149385,0.385019423,0.020912735,30,142,100,0.000427066,,
0.027087129,0.003020772,0.402209138,0.034365813,24,84,76,0.000644212,,
0.027090375,0.003738795,0.399891878,0.045684323,13,132,340,0.002038762,,
0.027113335,0.002753591,0.405081285,0.040732356,27,185,233,0.000683184,,
0.027118566,0.003829248,0.378578365,0.028828779,27,42,257,0.006710844,,
0.027140529,0.002344734,0.381306311,0.029109561,26,41,229,0.007970441,,
0.027153211,0.004726228,0.409464894,0.039857049,16,46,464,0.02,,
0.027305614,0.003993081,0.41631669,0.083492909,11,100,254,0.002144565,,
0.027407968,0.002955074,0.331272511,0.016741345,24,84,38,0.00079356,,
