Time:,14:25:42.474962,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate
0.037299090658687535,0.005763599871537681,0.29583583275477093,0.03474613131381207,15,164,368,0.005955555973833074
0.030711295274979733,0.004148294442561628,0.34489210695028305,0.025112271140121753,26,31,120,0.007511287108585775
0.026948335652784147,0.004545937294093704,0.3493349875013034,0.0332995064762591,6,24,9,0.0013189197029000728
0.032484958148673825,0.002381181970003126,0.5242647354801496,0.10961164491312791,11,161,60,0.00013453726838938207
0.07811670887046746,0.02940834919800344,1.008133168021838,0.4240502628671489,14,5,175,0.0003689444695466026
0.034779163607921715,0.00256558442466914,0.6267192090551058,0.20454870723220342,22,178,592,0.00018631197194335489
0.03105632402188185,0.0043226098933350126,0.3527714783946673,0.0278455978763484,12,91,323,0.00659546125322029
0.03847983458649507,0.007232490383289377,0.3001405323545138,0.02161928566090914,15,88,342,0.016993938107329822
0.04801448151846994,0.013689267871329312,1.1564008295536041,0.7912650646135028,2,110,278,0.0007349772412304717
0.041154264855797325,0.009293890610133092,0.8588525205850601,0.4101459242616744,11,163,388,0.00012856707022799833
0.03684630063160046,0.004559235686974876,0.28346950312455493,0.020161058218031207,30,138,558,0.012960260316222985
0.02917996922231632,0.002983470292035904,0.4134404932459195,0.027797468803554895,29,80,158,0.000976767461232582
0.04305254651141702,0.010541876738956409,0.21787782882650694,0.007251767125853647,23,120,49,0.004180016227636683
0.0978211834305661,0.09391477649657395,1.5666246563196182,1.248583682777582,6,7,198,0.0012313062309039654
0.036125183171325057,0.012876493912500214,0.32338978350162506,0.04247619681600655,3,77,72,0.011547256338912945
0.06913284100373575,0.015493063402843427,0.20747227718432745,0.009020433089285886,23,76,16,0.012188629394106884
0.031092812814015307,0.0034765349380848493,0.437889297803243,0.0600329306629922,24,124,128,0.0004705440411581136
0.03219524708234318,0.0018482037940076297,0.45899949471155804,0.07833340672174169,20,177,403,0.0005735950365157129
0.0343840759339674,0.002533920047579343,0.6148330022891363,0.12748110319614336,7,3,44,0.004784984607731768
0.02987509831410542,0.004428644046717139,0.3465731119116147,0.023826330053719,29,138,594,0.0038809690706627788
0.034926992507391466,0.0015237952752179275,0.512725479900837,0.11362316659213666,28,117,319,0.0002443912167106891
0.03171299330652406,0.0039009723744224396,0.5597855796416601,0.14531908608654884,6,188,431,0.0012489323916602226
0.034349682767931086,0.0013404458976485675,0.5183814068635305,0.06345523090762371,27,81,104,0.00020107100007631538
0.03703228566182123,0.0022060731751763684,0.703342080116272,0.2390355922559905,13,6,339,0.006296867269712682
0.032313415168059335,0.002778347572223143,0.5748929356535276,0.14053999697634684,9,44,107,0.000972194621700371
