Time:,3:22:29.182472,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.023621336055482216,0.0027460007742217225,0.03757203207351267,0.005874266990577208,8,2,255,104,0.00025311081157219456
0.07383403968094265,0.031012221511320118,0.01935814879834652,0.0007634108427205572,6,8,496,306,0.0032012872545786673
0.03909649567897612,0.011091795269246182,0.021748692146502435,0.001797576419570616,4,10,238,432,0.01621971962205814
0.02954985869366576,0.0027103453784685363,0.04750391934067011,0.012042671138141043,4,4,283,349,0.00026200932064031183
0.03278581579998744,0.005193705040172208,0.030563468113541603,0.0054499412037321785,4,2,337,231,0.0011909705760463822
0.021549671531713756,0.0013023164701899176,0.03692205809056759,0.0025532785895024186,8,10,462,232,0.00013629745800971567
0.03412945462141323,0.0008187773458947969,0.0766337716486305,0.04900436596492109,2,8,106,238,0.0001034174677695484
0.02794348002989397,0.004163054095729614,0.043137443950399756,0.008646075740391237,6,4,533,239,0.00010753511517965682
0.05854851854281985,0.021480197825199273,0.023989674751646817,0.002073414087370742,6,4,471,401,0.0015867562387692406
0.07505108084433647,0.043543749328541236,0.018872609944082797,0.0015676705483699083,6,2,386,366,0.013401117566145853
0.026567900977853165,0.003754797134503448,0.04037089669145644,0.013727944251582707,6,4,550,478,0.00031144742881803166
0.08769306838475252,0.02838760479381302,0.01747246494051069,0.0004417940990582414,10,6,630,285,0.00233332560038599
0.03078208963907479,0.0007422705476135138,0.060472712852060795,0.02448252963381307,4,2,471,392,0.00010987729389514493
0.03467646678743344,0.019337391739571295,0.030422827694565058,0.0006909533361522391,2,10,384,252,0.006322206908834693
0.06734924286996502,0.02485843113267018,0.017812689999118447,0.00045711582386252027,6,10,352,242,0.008292301980657018
0.02558336388803779,0.009334245002111352,0.03290468000341207,0.002034104385294083,2,10,654,271,0.0008143473281337307
0.03554736216166099,0.017310425925473764,0.03157103678677231,0.0014667292318272047,2,2,232,96,0.012351823666405061
0.04433666851826992,0.005638908051519524,0.025673141819424927,0.001600533852500459,6,10,405,85,0.0003288961129973476
0.11113452033150155,0.06862926117152453,0.015848612994886935,0.000540850099524768,8,6,453,386,0.0104330266215934
0.024191591717946832,0.004141993992820197,0.039188109105452895,0.006789479917119433,4,4,795,438,0.00017801478229791936
0.030475694414203214,0.0062632874140295955,0.03180800436530262,0.0043813539321461885,4,6,384,65,0.000245320887172246
0.04595240538137582,0.007138629771264072,0.027238389826379716,0.004159410761070771,6,8,399,405,0.0007735482712832975
0.029541101764906184,0.002471383857859754,0.04420690448023379,0.006961265120930664,10,4,165,489,0.00046077443712304
0.0314478491440047,0.004761606950941271,0.04508612223435193,0.015075874250601327,4,2,100,500,0.003027852345275927
0.0305316534235847,0.0005205154744568642,0.05381605727598071,0.03130385800054956,8,10,342,500,0.0001
0.027129622685341435,0.008485428266907907,0.040225915843620896,0.004435690057342538,2,4,631,500,0.00038639916499826657
0.024330397994730357,0.008373940740062475,0.035206149565055966,0.0029101926672130823,2,10,174,500,0.0024592919554709373
0.029183562342419277,0.009121944825637418,0.03624437237158418,0.002416141540812928,2,10,164,500,0.0024961544266203393
