Time:,0:16:20.251915,Samples,20,Size:,30,Cores:,4,CPU:,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.03279353808936645,0.001185128324349553,0.0795401519164443,0.053049158956477174,4,2,200,300,0.0001
0.03362419901943416,0.006885429648526966,0.08706062380224466,0.09397359441008894,4,2,200,300,0.000117
0.03182289801504729,0.0011012379114290734,0.08520014397799969,0.05996116134436064,4,2,200,300,0.000137
0.0314641209782867,0.0011517574777917417,0.0828845452517271,0.1103859387056385,4,2,200,300,0.000161
0.03145174650863929,0.0014232379834378057,0.07236881945282221,0.05691750239469665,4,2,200,300,0.000189
0.0316627103468053,0.001490093280836886,0.0994593957439065,0.08984097351878707,4,2,200,300,0.000221
0.031229310465474114,0.0006150067713428596,0.06491892319172621,0.024357372562953603,4,2,200,300,0.000259
0.031440765670853035,0.001178973190728371,0.055800089798867705,0.033419875812756204,4,2,200,300,0.000304
0.030649955574057357,0.0026660123933439648,0.06911526713520288,0.03940728795492705,4,2,200,300,0.000356
0.030534074650351177,0.0033648689083462598,0.0747592518106103,0.06676813486990207,4,2,200,300,0.000418
0.029993427781908822,0.003624934722863058,0.06233617067337036,0.049647161241402435,4,2,200,300,0.000489
0.028133923564898,0.0052005438369203145,0.045058912597596645,0.01141831484727497,4,2,200,300,0.000574
0.02862491328613459,0.004763057212174746,0.04372835457324982,0.01098315389411378,4,2,200,300,0.000672
0.025609742551332648,0.004621128253093569,0.04142068410292268,0.009608528277128185,4,2,200,300,0.000788
0.02678211327033162,0.005634960067402999,0.04606110882014036,0.012154728080011381,4,2,200,300,0.000924
0.029352411774323194,0.004752584238293961,0.04004099806770682,0.01553176134280283,4,2,200,300,0.001083
0.029101962956749827,0.006791208722328859,0.03649041438475251,0.0057404608237632245,4,2,200,300,0.001269
0.02991172928193562,0.005991597682749933,0.03828351842239499,0.010482688341148443,4,2,200,300,0.001487
0.03080749328482163,0.00485222874842201,0.03566156690940261,0.009776129786623148,4,2,200,300,0.001743
0.03344426313992888,0.005971687163775376,0.03221712876111269,0.00467569072782473,4,2,200,300,0.002043
0.03319981250388244,0.006513770340728259,0.030868414975702762,0.004377097610245415,4,2,200,300,0.002395
0.0326072708622661,0.005108037841932888,0.03171022143214941,0.006927221026501145,4,2,200,300,0.002807
0.03629111148788079,0.006845891077009942,0.029429150559008122,0.0074368074347854335,4,2,200,300,0.00329
0.034990187183760645,0.006758803715716018,0.03101239539682865,0.008110113813729619,4,2,200,300,0.003857
0.04239319376799393,0.009517822244778939,0.02565089166164398,0.004181784701474895,4,2,200,300,0.00452
0.033886170466243384,0.0057069680062222915,0.02610185295343399,0.0035445089462807066,4,2,200,300,0.005298
0.04268059103923612,0.013569005569726202,0.027252095099538565,0.0046137861226679035,4,2,200,300,0.00621
0.035683595178724395,0.0073029446849354465,0.024237917084246875,0.002187939441926715,4,2,200,300,0.007279
0.03874286302292414,0.005248415988902863,0.02360402662307024,0.0023296963264315003,4,2,200,300,0.008532
0.037475071891160464,0.008069337387860996,0.023770920187234878,0.0027873779414894226,4,2,200,300,0.01
