Time:,4:53:07.400034,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.07674535460604577,2,10,332,15,0.02064709126066916
0.03928547570770281,4,6,188,22,0.06427477608432165
0.2358282469847612,8,6,188,22,0.06425659887389783
0.04854382230391156,8,6,260,47,0.03905262131190107
0.18301494573264757,6,6,204,168,0.09477876596975056
0.03803580515531531,6,4,213,33,0.09470530685243503
0.053619700619383155,8,6,260,47,0.09140904291708593
0.052538287295529985,8,4,136,52,0.09736574651582652
0.03629361888057882,4,6,188,22,0.06432299493746588
0.054841181822327556,10,6,106,153,0.04372550513831892
0.034962265706880886,4,6,188,22,0.06432151101163804
0.047480143952488674,4,6,188,22,0.0643190370973507
0.039455726500202515,4,10,188,22,0.06432544375367769
0.04027121267884508,4,6,60,87,0.08040175895070416
0.03674856091133084,6,4,213,33,0.09470368021403305
0.04491126134100623,4,8,188,22,0.06432622023368612
0.04140252822119932,4,4,332,15,0.09631589676355343
0.06781272282919493,4,8,332,15,0.0959287266510652
0.062351059164398,6,6,213,33,0.09470391652193107
0.03733873683118065,4,10,188,22,0.0643235465381912
0.0385063373156579,4,10,60,87,0.08040175894090053
0.038688143986200414,4,8,188,22,0.06432303522851839
0.0676751716578377,4,8,60,87,0.08040175973029139
0.04235684745416876,4,8,383,17,0.09545531203579667
0.0516097245906116,4,4,383,17,0.09545534588958332
0.07450337618897826,6,8,204,168,0.0749217345642414
0.04342889743108196,4,6,188,22,0.06432264947231545
0.0330676994606546,4,4,298,22,0.09809024621499796
0.05097703821222303,6,8,251,156,0.09963684842454501
0.0573239824670345,6,8,217,33,0.09472465056287335
0.041646849235413966,6,10,343,33,0.0901372671259198
0.03781434086489959,4,4,298,29,0.09821828989688841
0.048093518256110065,4,2,299,24,0.09846125473840726
0.04768815501581661,4,4,296,26,0.09796924350102051
0.04214016523677534,4,8,188,22,0.06432380005112112
0.04005472046769008,6,6,188,123,0.08791626891265042
0.052264781045224515,4,10,188,22,0.0643230368454638
0.028073647861913284,4,4,300,23,0.09829779897188314
0.045269530046296844,4,6,301,21,0.09713269155956436
0.05896051048493303,4,6,300,104,0.09826900428387132
0.05148266415566034,6,8,189,73,0.08840218088384978
0.06107743895318624,6,10,202,153,0.08150440879397139
0.05319806672692782,6,8,188,115,0.08766100258803722
0.04845097783463996,6,10,343,36,0.09212940866563256
0.04924814630938454,4,8,183,254,0.06538502801173063
0.027051138075875707,4,4,301,23,0.09834597297204987
0.03950282810219383,4,4,301,23,0.0983750041547241
0.0653520958069238,6,4,341,21,0.09126720165475992
0.029974098899994583,4,6,188,22,0.06432788093868795
0.03823352157208122,4,10,330,16,0.09650146191197558
0.06040970506338968,6,4,216,33,0.09464330700484112
0.04004182808241949,4,6,188,22,0.06434128981744221
0.04131711964293097,4,4,300,23,0.0982902013100049
0.04533397556001673,6,6,204,168,0.07442564523177331
0.030634322198796925,4,10,331,15,0.0962399689792732
0.04103676288959512,4,6,64,91,0.08344549333374378
0.04895578159811101,4,8,326,1,0.09460222785632279
0.05722640341355266,6,10,350,83,0.0900331135268049
0.036946618446246186,4,6,188,22,0.06858634670821773
