Time:,10:49:50.564208,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.05287065268423957,8,4,258,18,0.060637450047956794
0.04538484231435693,10,4,200,18,0.09001848464837776
0.046271884125983063,8,2,260,30,0.08887110224633314
0.03379166898861069,8,4,245,29,0.08853687705570051
0.08071966022483523,8,4,272,19,0.0900168399011411
0.04516581131402572,2,4,256,22,0.08517042764073801
0.05667378256915971,8,8,255,17,0.09961260467249387
0.05012995953418172,6,4,249,30,0.08960143508366197
0.05827739131062659,8,4,255,19,0.0767614008096987
0.04844868097664251,8,4,256,37,0.08871614646822308
0.06425424191742918,8,4,239,18,0.035150556964513004
0.1463946105420527,8,6,254,16,0.08503822260799522
0.0454400353990541,8,4,252,14,0.07402700464195777
0.032702887815362555,10,10,297,18,0.08872693234780427
0.05211963841478178,6,4,254,15,0.0834806078497981
0.05229816157549875,8,4,260,18,0.08347276078212884
0.043688015123607774,8,4,254,34,0.08940049102602696
0.05860661153945945,8,4,227,8,0.08921403077207865
0.08459847021646899,8,2,231,16,0.08905356728166808
0.06592190835672651,8,4,255,71,0.09598238839973147
0.04209764978368719,8,4,391,18,0.09305566735156973
0.05460394280523423,6,4,251,19,0.0884536910782451
0.03612168937922096,8,4,253,24,0.0923170122494093
0.049108899254684785,8,8,256,18,0.08681916430872365
0.03185824606532024,8,4,234,19,0.08827575406660275
0.054273423081403906,8,4,253,18,0.07997661405509415
0.04214126365729291,8,4,259,20,0.08942518817454102
0.03956779334212498,8,10,264,18,0.09211282140096312
0.046970177176226716,2,6,216,18,0.08925918964364987
0.037102935697195624,10,4,171,18,0.0879833981138353
0.04583259425264091,6,4,117,18,0.08762494741877631
0.036791162317605305,6,4,321,18,0.08849908347167525
0.06621580855020988,8,4,253,72,0.08920140381788799
0.049536844890470055,8,4,385,18,0.0870541808415566
0.03680343914491534,10,10,255,19,0.08931406368337294
0.04198326924245557,10,4,254,7,0.09085818905209977
0.1354175369789627,8,4,303,18,0.08944181215201005
0.056652357147903974,8,4,214,18,0.08486420653543231
0.07760333288769965,8,2,220,12,0.08922619709526039
0.051885936887782445,10,4,247,18,0.07058097949877368
0.032445451952032155,8,2,305,18,0.08916018924557663
0.04158375229432482,8,4,287,4,0.08456756156834404
0.04081840433588828,2,4,254,3,0.09072087229299286
0.04603195294758912,6,8,256,18,0.08815361053195127
0.04214310177347542,8,4,262,12,0.08945205850260277
0.03191219166189138,8,6,256,28,0.0886567783272416
0.08548165949739026,8,4,255,24,0.06671262617915276
0.04830787345587151,10,6,169,254,0.08926637261504752
0.048446668883861316,8,4,255,33,0.08885601042265708
0.06965998037167533,8,4,241,17,0.08861717636388483
0.06292576940146606,10,4,252,23,0.0888996939812529
0.0553788466527362,6,4,255,18,0.0878495851361345
0.051217034025071974,8,4,256,125,0.08425123665116548
0.034350882112837565,10,4,256,6,0.08761875576101054
0.04004959769253903,2,4,252,15,0.08915390776951637
0.04015371837455147,8,10,252,20,0.08722419152752055
0.0940394028034441,8,2,254,18,0.06437260571794581
0.04751310870220365,8,2,228,281,0.0892930695809745
0.037863555650565636,8,4,125,17,0.08917310320260015
0.04367291896113486,8,4,250,20,0.09413145491157378
0.06498429589583107,8,4,275,9,0.08953009587184795
0.07982287001983018,10,2,256,18,0.09327330106887648
0.05584520969639274,4,4,279,18,0.09039581220827254
0.03968743475047548,10,4,259,17,0.0967486555831323
0.055910893429274695,8,4,258,31,0.0935205940582392
0.04888196953849727,8,4,250,13,0.09836826915298115
0.06936162445099588,6,4,255,140,0.08858322147326415
0.042965260694774465,8,4,258,18,0.07443008674658885
0.05132038167983112,8,4,162,18,0.08889487940535214
0.06646124403730282,8,2,255,281,0.08783667038995165
0.054391645723418404,8,4,242,34,0.08919796552423523
0.056149577482094384,8,4,323,18,0.08678477947875456
0.041447626858504616,10,10,264,18,0.08994137577433624
0.047838284081030066,8,4,262,44,0.08920713920679961
0.029224242013043692,6,4,238,13,0.08919059807952459
22.94864218941458,8,6,336,20,0.08914537775604806
0.052300209623724656,8,6,330,33,0.09217761892429749
0.042705351017289284,8,6,323,23,0.08900590812674877
0.050583494855147085,2,6,330,11,0.08939202616520121
0.04920013608265339,8,6,332,29,0.0742961489195492
0.08241485294140105,8,6,336,17,0.08671947305946161
0.0650012003295703,8,6,383,18,0.09131752813076573
0.03192090897101978,4,6,330,22,0.09665169865811686
0.08156154959994456,8,6,377,1,0.08903097606976738
0.049323200070614116,8,6,337,21,0.03981806905260323
0.042268727778500305,8,6,359,12,0.09755243327905706
0.035807344531693916,8,6,340,42,0.08966599687932039
0.06046782924162074,6,10,340,21,0.08924077242920406
0.07544614794420312,8,6,334,22,0.04533661682351985
0.04752269968154153,8,8,334,71,0.08782129612691804
0.049338153684300966,8,10,337,20,0.09054243924975705
0.04041380369651194,10,6,336,10,0.09321763873395227
0.04322322803106594,8,6,350,24,0.09163009913521127
0.038330193356974254,8,6,337,22,0.07147397821806768
0.04456719298021085,8,6,332,20,0.08853026909798402
0.03868481646679138,2,6,335,110,0.08985464824953086
0.07084769830991529,8,6,350,20,0.09591682935500911
0.05030859371091968,10,6,337,4,0.0876560699894436
0.09973591126488014,8,6,339,25,0.0965035164838821
0.053293479289134645,8,8,336,7,0.048744120624160905
0.05022409100892425,8,6,336,45,0.08012357041350697
0.0351405751613698,8,6,338,8,0.0862480282624775
0.04240661175850613,8,10,328,20,0.08831491201749407
0.04438906556064818,8,6,353,171,0.08912883396670793
0.05836633795469487,10,8,324,20,0.08895769336823066
0.03702177020863129,6,6,337,91,0.08871314352312543
0.043121629503850886,8,8,330,20,0.08910218693100173
0.09344957335055142,8,6,336,141,0.09358126594618545
0.057942559809804485,8,6,274,18,0.08945140197727261
0.10194565091702805,8,6,336,25,0.03725831164322094
0.08176370187561027,8,6,336,276,0.08889370309197663
0.06916837291785861,8,6,348,37,0.08956837963335952
0.049165672017649424,8,6,380,19,0.09044261351481112
0.5406285319362438,8,6,338,103,0.08971107877948215
0.04799859677612893,8,6,346,9,0.08894356063600938
0.03743815528335536,4,6,336,52,0.0889463505261088
0.03376467855105454,8,6,340,25,0.09607331289666393
0.09964333960516539,8,6,274,17,0.08931703659214196
0.061308091482207644,8,6,385,21,0.08908587050733245
0.044647420938331586,8,4,251,19,0.08991957815614245
0.03318047300744246,8,6,334,49,0.08689753501976558
0.043113392636619195,8,6,340,17,0.08708988632302662
0.07611035251633261,10,6,341,21,0.08884403413932974
0.04621301505366541,8,6,337,23,0.07708719000156815
0.033996738291826326,6,6,335,14,0.0881288802571441
0.04591112940275906,8,8,336,64,0.08804732442942202
0.05155320005049328,8,6,336,30,0.09820221398329
0.0317868944462286,8,4,274,21,0.0891349558856723
3.1803366482116053,8,6,336,16,0.01866295852945515
0.10005251665082478,8,2,335,21,0.08140470914094662
0.0911209155935765,8,6,261,18,0.08955716656025223
0.05020223370409934,8,6,345,23,0.09209592038523971
0.05594748464269409,8,2,336,125,0.08934226922675872
0.035888092900206475,8,10,335,21,0.033875516140003295
0.051584290477586,8,4,256,13,0.09047413168753052
0.04246569743680857,8,6,339,20,0.05980957564463258
0.04561701297328234,8,6,337,10,0.08602378451424623
0.034275958815084225,8,6,338,18,0.07728366973131459
0.038383064293538535,6,6,352,20,0.0940253987039028
0.0544680529444853,8,6,335,196,0.08763982548496285
0.0687704178615605,8,6,399,21,0.08882503569781025
