Time:,57:04.9,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,,,,
0.051404442,6,10,106,98,0.095970394,,,,,,
0.051588459,2,4,270,183,0.087144361,,,,,,
0.051638007,4,10,400,34,0.028598719,,,,,,
0.051642367,6,6,56,248,0.085174067,,,,,,
0.051716696,4,6,260,84,0.061138379,,,,,,
0.052524333,2,4,351,300,0.088544077,,,,,,
0.052604018,2,10,356,1,0.082215074,,,,,,
0.052684519,6,10,145,14,0.091976981,,,,,,
0.052780217,2,4,223,300,0.005747066,,,,,,
0.052874928,2,4,222,120,0.088130581,,,,,,
0.052907969,4,4,360,294,0.041127441,,,,,,
0.052911223,2,2,225,214,0.032584732,,,,,,
0.053188401,2,2,375,141,0.04004236,,,,,,
0.053431174,6,2,40,273,0.095563318,,,,,,
0.053560523,2,8,70,12,0.014306361,,,,,,
0.053577367,2,2,297,286,0.067900571,,,,,,
0.0536779,6,6,204,168,0.07909567,,,,,,
0.053883638,2,2,126,189,0.04220257,,,,,,
0.054131889,8,10,73,275,0.088877444,,,,,,
0.054160061,10,6,400,300,0.065927858,,,,,,
0.054383766,10,6,255,194,0.082093526,,,,,,
0.05442134,6,4,116,89,0.067625846,,,,,,
0.054513557,8,10,87,137,0.07529132,,,,,,
0.054592276,2,2,98,121,0.089336148,,,,,,
0.054764286,2,2,40,172,0.018643918,,,,,,
0.054843886,10,6,366,251,0.03075779,,,,,,
0.054986886,2,6,193,39,0.098767412,,,,,,
0.055246937,10,2,252,242,0.021123919,,,,,,
0.055364217,2,4,339,153,0.065566868,,,,,,
0.055426387,8,4,194,252,0.072709779,,,,,,
0.055703594,2,4,223,208,0.050518128,,,,,,
0.055782608,2,8,284,1,0.061476616,,,,,,
0.055859068,10,10,40,1,0.062099728,,,,,,
0.0558884,8,8,354,131,0.078311476,,,,,,
0.056080752,2,10,220,48,0.055106066,,,,,,
0.056532968,2,2,230,1,0.058137674,,,,,,
0.057274092,6,8,400,260,0.1,,,,,,
0.0573799,2,10,255,189,0.039502551,,,,,,
0.057505861,2,4,387,133,0.068458767,,,,,,
0.057768422,6,10,105,300,0.010337618,,,,,,
0.057903016,10,2,40,294,0.008409765,,,,,,
0.058233037,6,2,368,156,0.037669216,,,,,,
0.058276222,4,6,360,262,0.089312387,,,,,,
0.05879861,6,6,352,234,0.076701714,,,,,,
0.058855081,10,4,40,287,0.01951842,,,,,,
0.059550401,8,2,354,1,0.079919419,,,,,,
0.059629563,6,2,400,252,0.021819553,,,,,,
0.0600257,2,2,73,300,0.075180463,,,,,,
0.060275883,4,2,383,123,0.03297559,,,,,,
0.060581511,2,4,127,21,0.06774374,,,,,,
0.06062143,2,6,86,64,0.035732975,,,,,,
0.060673192,10,2,43,276,0.020185806,,,,,,
0.061310102,10,2,43,298,0.079744403,,,,,,
0.061341372,2,2,191,196,0.099974858,,,,,,
0.061438955,6,6,77,42,0.06979801,,,,,,
0.061470519,4,8,386,277,0.097580211,,,,,,
0.062154737,2,6,343,80,0.091880175,,,,,,
0.062941461,6,2,66,208,0.052550547,,,,,,
0.063266854,2,8,299,258,0.092510829,,,,,,
0.063623596,4,8,216,105,0.080394897,,,,,,
0.063701659,8,6,229,148,0.080995294,,,,,,
0.063825298,2,10,389,65,0.060583999,,,,,,
0.064409735,8,10,203,162,0.09480943,,,,,,
0.064578047,2,6,276,293,0.056071993,,,,,,
0.064627308,2,2,179,85,0.012761213,,,,,,
0.064912722,4,6,171,174,0.00586834,,,,,,
0.06543157,6,8,231,62,0.095908865,,,,,,
0.065515132,8,6,43,124,0.022967477,,,,,,
0.065548925,6,10,289,256,0.011448338,,,,,,
0.066169374,8,10,216,239,0.010866943,,,,,,
0.06660007,6,2,400,230,0.058661301,,,,,,
0.066819991,10,10,384,58,0.025483542,,,,,,
0.066990004,4,10,65,165,0.009783914,,,,,,
0.067155641,8,8,157,265,0.083578112,,,,,,
0.067216821,8,8,387,60,0.021271072,,,,,,
0.067311853,8,2,258,51,0.052655536,,,,,,
0.067382207,8,8,191,93,0.082706288,,,,,,
0.067823091,2,10,128,283,0.011108472,,,,,,
0.068033237,6,6,380,44,0.03610196,,,,,,
0.069049733,8,4,194,1,0.038157971,,,,,,
0.069542634,6,2,347,239,0.0453986,,,,,,
0.070303983,6,10,356,134,0.005597381,,,,,,
0.070671992,8,4,251,183,0.061551477,,,,,,
0.070948646,10,4,126,186,0.056077579,,,,,,
0.071092511,2,10,244,159,0.063835123,,,,,,
