Time:,21:08.4,Size:,250,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate,,,,
0.064412409,8,2,259,182,0.091836036,,,,
0.064629639,6,10,329,221,0.023376882,,,,
0.064698974,6,6,299,188,0.051847586,,,,
0.064950456,6,6,323,41,0.011616002,,,,
0.064997115,6,10,333,158,0.015720503,,,,
0.065089784,6,10,342,198,0.006168561,,,,
0.065096784,6,10,336,216,0.013027334,,,,
0.065961639,6,10,332,287,0.017226621,,,,
0.066018626,8,10,340,198,0.017579183,,,,
0.066153202,10,6,301,185,0.020883571,,,,
0.067372249,4,2,139,200,0.090943738,,,,
0.067807513,4,10,331,121,0.017065037,,,,
0.068717215,6,10,324,216,0.015133921,,,,
0.06884998,6,10,288,203,0.016549422,,,,
0.06913046,6,10,332,277,0.014406773,,,,
0.069131832,6,6,175,96,0.009428241,,,,
0.069535379,6,6,301,251,0.012843436,,,,
0.069722565,2,10,203,134,0.086081176,,,,
0.070108055,4,6,242,100,0.014165153,,,,
0.070164087,8,10,338,144,0.018237265,,,,
0.070459832,8,6,313,119,0.01710879,,,,
0.070490579,6,6,307,208,0.017167921,,,,
0.070774479,10,2,390,138,0.082557649,,,,
0.07135092,6,6,311,152,0.018780224,,,,
0.07141902,6,10,304,186,0.014332451,,,,
0.071806877,6,6,317,148,0.004587958,,,,
0.072777049,6,10,302,41,0.003246903,,,,
0.072866506,6,10,340,231,0.016098926,,,,
0.072959648,6,4,391,74,0.039154858,,,,
0.073518816,8,10,323,210,0.016570619,,,,
0.073729385,2,6,173,189,0.019280318,,,,
0.073798568,6,6,214,105,0.003243749,,,,
0.074145326,2,10,74,228,0.05434887,,,,
0.074345406,6,6,296,185,0.016162489,,,,
0.075063233,6,4,240,191,0.055809228,,,,
0.075107439,6,4,303,171,0.016587088,,,,
0.075890629,6,10,335,232,0.006017369,,,,
0.076841692,6,6,316,182,0.03409715,,,,
0.077397766,10,10,146,140,0.056822962,,,,
0.078081283,6,10,328,233,0.016355941,,,,
0.078894493,6,8,310,156,0.017016943,,,,
0.079095043,6,6,284,179,0.016568885,,,,
0.079654213,6,8,303,164,0.011897969,,,,
0.080103447,4,10,333,135,0.003344348,,,,
0.080180396,6,6,308,158,0.015621714,,,,
0.080542554,8,10,333,62,0.022652182,,,,
0.080568435,6,8,329,210,0.016143345,,,,
0.080683028,6,4,59,268,0.028652698,,,,
0.081285445,6,8,340,219,0.022661294,,,,
0.082372658,6,6,225,21,0.007934812,,,,
0.082782875,6,6,282,185,0.01698535,,,,
0.083418881,6,10,354,226,0.016771522,,,,
0.083968914,6,10,364,70,0.004982932,,,,
0.084752008,6,10,346,191,0.024263889,,,,
0.084813348,10,6,299,161,0.017410288,,,,
0.085987016,6,4,273,289,0.00314658,,,,
0.086314748,6,8,339,146,0.017683064,,,,
0.086823575,6,8,331,220,0.018917574,,,,
0.08790546,8,10,322,153,0.018037254,,,,
0.088369927,8,6,303,206,0.013277068,,,,
0.089006992,6,4,319,164,0.01755792,,,,
0.093194418,6,8,327,212,0.012070189,,,,
0.093709286,8,8,287,294,0.029171282,,,,
0.095845653,6,10,318,179,0.00730902,,,,
0.096401144,8,6,303,31,0.016041979,,,,
0.096698501,6,10,329,89,0.018167233,,,,
0.096798614,10,8,268,163,0.042622021,,,,
0.098291688,8,8,329,85,0.017473694,,,,
0.101032899,6,6,343,212,0.017226486,,,,
0.102665187,6,10,332,201,0.006198025,,,,
0.102890099,6,6,260,191,0.017247548,,,,
0.103071493,6,10,309,159,0.01690722,,,,
0.104042678,8,10,229,267,0.072698252,,,,
0.105139712,8,10,224,56,0.059362641,,,,
0.106689156,10,2,303,188,0.017293281,,,,
0.109146054,6,6,339,177,0.016002252,,,,
0.109699636,6,10,330,187,0.033650379,,,,
0.11160444,6,8,331,209,0.027960526,,,,
0.113977972,6,8,358,55,0.006756736,,,,
0.114567086,6,6,331,298,0.017650096,,,,
0.11463275,6,10,329,161,0.018881081,,,,
0.115641888,6,10,342,190,0.067299366,,,,
0.117903694,8,6,234,79,0.007816474,,,,
0.120916534,6,10,371,181,0.016818644,,,,
0.121030304,6,10,333,194,0.014030483,,,,
0.12171442,8,10,334,151,0.016357169,,,,
0.1217506,6,6,302,267,0.020709346,,,,
0.122826327,10,6,303,191,0.017502604,,,,
0.123945328,6,10,337,253,0.023129495,,,,
0.12470948,8,10,329,221,0.009627501,,,,
0.125090663,6,2,342,235,0.014042963,,,,
0.127998724,6,10,339,219,0.01526859,,,,
0.129293139,8,6,232,102,0.018658265,,,,
0.132083524,6,6,303,177,0.028842043,,,,
0.13251274,6,10,319,218,0.019527767,,,,
0.133938473,6,6,302,188,0.019435363,,,,
0.136035865,6,10,232,95,0.059063026,,,,
0.136699651,6,6,324,41,0.016052075,,,,
0.142601558,6,6,304,227,0.014941726,,,,
0.144875678,10,10,341,7,0.006218911,,,,
0.14913961,10,4,302,217,0.017118031,,,,
0.153761903,10,8,344,146,0.026772042,,,,
0.164281646,8,4,304,170,0.015416671,,,,
0.16717744,6,10,338,214,0.01331028,,,,
0.17057492,6,6,311,201,0.016461193,,,,
0.175185351,10,10,334,209,0.014489603,,,,
0.178116833,6,10,326,167,0.017584603,,,,
0.182243665,8,10,230,214,0.056239313,,,,
0.183500128,6,6,229,99,0.008155453,,,,
0.184670036,6,2,347,196,0.01936642,,,,
0.187837414,6,10,348,207,0.016557911,,,,
0.191696865,6,10,344,180,0.013735775,,,,
0.192831013,6,6,329,184,0.015688441,,,,
0.196844497,6,6,303,153,0.010476326,,,,
0.217856456,6,4,325,109,0.017091936,,,,
0.258521919,6,10,329,42,0.016752069,,,,
0.268957805,6,10,335,96,0.005713345,,,,
0.291987876,6,6,318,165,0.017121935,,,,
0.2955289,6,6,329,178,0.016972562,,,,
0.3301176,8,10,329,161,0.017739458,,,,
0.339728905,6,10,341,207,0.015764429,,,,
0.407633361,6,10,331,217,0.017165985,,,,
0.58856711,6,6,303,185,0.017115984,,,,
0.083471922,,,,,,,,,
