Time:,3:41:35.282873,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.04564914883964981,2,6,224,41,0.08064192423412103
0.04367955421836055,4,2,179,130,0.007273215059508822
0.09120115097036663,4,10,45,90,0.024808593416913882
0.04817532062998537,2,6,356,147,0.09273606069074071
0.09208206983829387,10,6,42,162,0.0428274181917624
0.05379360551965463,10,2,56,295,0.09682790027813942
0.03831882821481039,10,6,144,239,0.0020710613474879506
0.038454535484905565,10,4,195,95,0.07869205483768324
0.04311149363268531,8,10,230,214,0.056239312813269125
0.117739120550322,6,4,391,74,0.039154858473409694
0.03818007258683584,8,2,259,182,0.0918360358210653
0.04799822528105678,2,4,369,54,0.09271900346907196
0.06893344324709162,10,8,99,291,0.06650706442900041
0.06699166796822986,10,6,393,172,0.0647102188636915
0.041552035555611766,4,10,225,172,0.07078503380927997
0.05712227330111995,8,8,287,294,0.02917128202799367
0.05911790575778299,8,2,118,153,0.031132724044077346
0.07101063924775232,10,2,98,106,0.019263820659653652
0.20398060014070846,10,8,309,48,0.019758268482958752
0.03640461361809354,6,10,248,98,0.09594806861738564
0.043635822192049104,4,6,192,296,0.01701845950808498
0.06278339817632286,10,10,146,140,0.0568229622306388
0.07216263322843572,4,4,202,173,0.05785016516445345
0.040909263103516336,6,8,52,256,0.05146311125843841
1.8392955020908222,10,8,268,163,0.04262202063245138
0.03228597553644741,4,2,139,200,0.09094373788872283
0.0372843654089173,4,6,242,203,0.09193063320108244
0.03568854547563405,8,8,52,141,0.07206510027954517
0.04667643758786193,4,10,59,184,0.04648073603176681
0.06552626871486858,8,8,142,300,0.007804288449990143
0.047832036906827524,4,10,202,235,0.0912199196237351
0.05918129244884816,10,8,344,146,0.026772041541217317
0.05211640154900401,4,4,320,17,0.04590662423325395
0.06487474644513853,8,2,186,100,0.011056464700712114
0.05428774621539772,8,10,281,1,0.034981229817218525
0.045559164283352986,2,10,203,134,0.08608117610679762
0.057131115939784566,6,4,240,191,0.055809227678689406
0.04760241916730239,6,10,256,82,0.06546496783204049
0.04817736680196759,2,2,385,3,0.045467777392825745
0.0338275591822906,6,6,229,99,0.008155453073350926
0.058085771136605,10,2,390,138,0.08255764881189866
0.0351666397541333,10,4,64,22,0.09179047036844225
0.07840011718504462,6,4,273,289,0.003146579904197482
0.0367901719222557,4,6,96,72,0.06528842566539408
0.08056507504576772,6,8,73,222,0.08401451869380935
0.04053695383084238,8,4,255,18,0.08925072126800854
0.032992602010527596,6,4,59,268,0.028652698263462298
0.044757791747643765,2,10,74,228,0.05434887024431982
0.08616720916611478,10,6,225,51,0.050596165380355065
0.04703493848766317,2,6,173,189,0.01928031757040092
0.05155383897650683,10,8,313,182,0.09045894695604287
0.2007366665008151,10,10,252,284,0.048502528233227545
0.0903631117239135,10,6,267,181,0.03235380243530896
0.06467213942739655,10,8,218,162,0.04499858337286351
0.0885535108304294,10,8,228,150,0.040772560945003374
0.06956500437318851,10,8,265,181,0.04932019385704018
0.06918663991813925,10,8,273,193,0.04256408213761905
0.06934134503355177,10,8,269,153,0.050138643260468095
0.08577421882267344,10,8,273,158,0.038509228203689405
0.07835308505357334,10,10,266,150,0.040652596301000474
0.06085803600329157,10,8,272,160,0.04418902275280709
0.08787317579982205,10,8,277,173,0.04346313635589861
0.04786837161639165,10,8,306,160,0.04308927487800437
0.07259194618264345,10,8,261,276,0.04117646329301682
0.09842139620740645,10,8,268,90,0.04328032100988581
0.0661833603127239,10,8,262,56,0.03690183626797774
0.0579662707516971,10,10,260,161,0.04218272490121418
0.24399641616920204,10,8,260,284,0.042361218124847985
0.0746399571829787,10,8,312,177,0.042752614705466555
0.03973350027066699,10,8,268,56,0.03067189424212685
0.08380674162292379,10,8,277,147,0.0423860803906493
0.0791651419116976,10,8,269,293,0.041791811551393276
0.10073500059846142,10,8,263,153,0.025779203718632935
0.1770761649578929,10,10,269,165,0.039231775060388295
0.07187199352546932,10,8,266,172,0.0388074304741691
0.07157897777740425,10,8,268,172,0.002551611888905824
0.05744058071169954,10,8,267,169,0.024718009303819923
0.06358589648210967,10,8,242,154,0.04354731315211788
0.06362609574536723,10,8,264,156,0.05141982756992257
0.07755933836864873,10,8,274,160,0.03310646725630297
0.045546561598394375,10,2,261,163,0.04460873519798494
0.07311616078126795,10,2,299,157,0.04237687041319711
0.09188240774330123,10,8,245,148,0.04256653107161977
0.048835231166754756,10,8,59,162,0.04268190004490016
0.1999269252862426,10,8,180,164,0.042614515567101593
0.14052877513625214,10,10,291,200,0.0426680350334251
0.10236104569007859,10,8,353,163,0.06402789308766417
0.08925877233099813,10,8,270,163,0.046902017370593116
0.04874402743578045,10,6,268,149,0.04109500323146107
0.9925836010422453,10,8,267,116,0.0426289340383841
0.1382603095329726,10,8,266,160,0.0427999573435554
0.06151305237019131,10,8,264,167,0.03105558478132806
0.05509491989576387,10,8,268,278,0.041189586965159744
0.0840616342644093,10,10,271,156,0.042250970570807185
0.07713856662703283,10,8,371,121,0.0426981983323036
0.19688213256120735,10,8,284,174,0.04242575636820349
0.11345455567051758,10,8,284,166,0.04300106438120272
0.07666387488510691,10,8,268,267,0.04282465438901873
0.05406112871148107,10,8,261,161,0.04033651731017339
0.04611500330150179,8,8,269,133,0.04605133960581218
0.1094956137318708,10,8,283,163,0.04478841671188137
0.03180325951781227,10,8,270,131,0.04171432083990315
