Time:,3:40:56.204946,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.044552514791215136,2,2,166,300,0.09810123736582994
0.0445409603849543,2,2,283,116,0.03413043103490531
0.04074316698440593,4,4,388,182,0.013408462846903968
0.06465133898910226,6,8,156,278,0.03451362002559374
0.06449671393170217,8,4,328,130,0.07413808307926473
0.0620298915365251,6,8,273,113,0.06278340879029713
0.045042824400826825,4,10,223,278,0.05100670182818245
0.06897126329337495,8,8,113,169,0.01769041403148803
0.16931740035036302,10,8,105,162,0.054587230850405184
0.07289807028830034,10,2,385,203,0.05740392728522977
0.07970457561512313,4,8,247,95,0.004375461607661328
0.07999570516080931,8,8,347,46,0.02066041517065851
0.07375875399619014,4,6,207,186,0.017287337924330917
0.131422593432326,6,4,114,207,0.07131716730695248
0.05083859586151876,2,2,132,85,0.05907253194343379
0.04454040635035024,2,10,157,76,0.01715326626486244
0.03597591615541795,4,6,77,101,0.02035419919374068
0.043788554981935554,6,6,365,297,0.028015619531710452
0.042329318372505476,2,6,191,135,0.08869713449307479
0.03902153065159335,4,8,306,222,0.02190708847693362
0.08586081971477265,6,6,165,185,0.0460446047876216
0.045084193437009416,2,8,153,83,0.0001
0.04369634290845406,6,10,335,206,0.08334960455229168
0.28768078311773626,6,6,375,275,0.08493190757201997
0.06951308749351132,8,8,128,298,0.051985384066263005
0.04731166746167641,4,2,40,84,0.0001
0.05128606986349833,6,8,214,171,0.09772942543042708
0.11365299499197706,6,6,168,193,0.09698472116447814
0.15128541888952501,6,4,185,132,0.07454961380346851
0.043256474506323486,4,10,334,193,0.08537573486904852
0.045006493359386175,6,6,205,178,0.1
0.06768267433540807,10,8,190,158,0.06619017942972895
0.058644004722882816,8,4,214,300,0.07595736660724149
0.06402636820595692,6,6,400,264,0.07566970793547376
0.1545610095672335,10,6,371,123,0.0729744931795132
0.04931706341369242,6,10,128,189,0.08766408345121936
0.0432718069258635,6,8,320,9,0.0960648944506244
0.05772797257335589,4,8,264,77,0.08375429296273708
0.046381170251019704,6,6,46,270,0.011678034661557752
0.044774923870210516,6,4,312,188,0.05572590723765283
0.03890408451089837,2,8,40,39,0.08057041089809702
0.04743789165943402,2,4,349,84,0.08206544010590766
0.03419391765659553,6,4,386,62,0.049188473173118065
0.05939919632515005,2,10,400,1,0.0016716708792283905
0.05600166521540777,2,6,368,10,0.07896842443109844
0.0487751596219442,4,8,175,56,0.023522084592503677
0.03671627067822744,6,2,132,64,0.013298315569004236
0.07490098760194228,6,6,357,264,0.014856893795943177
0.045020824310785884,2,2,45,15,0.03736212434125048
0.03088171841176084,4,6,350,99,0.07868837177050782
0.034030061519940535,4,2,371,208,0.07946072319046069
0.04793085733483318,4,2,306,243,0.07708289755354404
0.038574206000121285,4,8,296,24,0.08702837235128809
0.04979946172332815,2,6,334,175,0.004777659983558441
0.038421351422782,4,4,152,290,0.08862797135297017
0.05617208200395287,8,4,274,126,0.036888379274172794
0.037645385940960355,4,2,275,119,0.09024614046851466
0.03282023916790647,4,8,129,222,0.09189779577831733
0.035052466631907246,4,8,326,284,0.0933772743888296
0.04857509953235604,2,10,310,258,0.006600229938481864
0.041691261964864806,2,6,74,167,0.06226389536637015
0.049314458272576425,2,8,395,84,0.06393570423352797
0.04512244169556003,8,6,117,31,0.001242259754599109
0.04525249078640152,2,4,326,202,0.08532587083595675
0.04454643938936573,2,8,60,127,0.08373966249524532
0.05180366963550938,2,8,70,265,0.09040511921279253
0.041251793795659616,4,6,86,231,0.05943405459566925
0.07929517744591033,10,6,186,270,0.04421678819068408
0.14472831527012664,10,8,75,284,0.04766704995493103
0.03347435792181011,6,4,40,39,0.054972627956293645
0.07838446366326782,8,8,127,15,0.09563489960211533
0.26891657027595717,8,10,221,292,0.0990983170351111
0.050208393133847784,2,8,395,287,0.020383636993006323
0.028052300074060878,4,6,289,113,0.0017092080411725116
0.13021211851144043,6,2,173,101,0.03784631196656747
0.043328221929154996,6,8,107,205,0.1
0.0412738575254699,6,8,190,155,0.0967206321969138
0.03485785128516612,6,4,289,116,0.09271011612326897
0.042967866002540954,2,8,62,15,0.015392511204989164
0.04467629217446904,2,2,361,278,0.013695105020438136
0.04639697725086484,2,6,335,58,0.011843801930385431
0.04158859925190361,2,8,218,177,0.0391294892253447
0.05154843129626675,2,6,226,7,0.040793648162374976
0.0410854856493446,6,4,254,20,0.026243418128014968
0.04222357393288752,6,4,397,252,0.024587877690210307
0.03371963455750322,6,6,74,174,0.0228778748445894
0.059180786360924956,6,8,384,206,0.021347946498015708
0.07662852004284387,6,4,176,176,0.05059722775148285
0.04085768800031625,4,4,81,27,0.06712673608508586
0.060935972828496734,4,6,120,275,0.06877247657960585
0.16912094342000789,4,2,388,78,0.05787794244643034
0.0411790500580055,2,4,53,48,0.03056136942564614
0.04075595439304157,2,10,269,267,0.028921192833080943
0.04375281610053016,2,10,57,71,0.027245337004313742
0.045931338913054065,2,4,212,251,0.02550623803386259
0.04721352335449086,2,2,155,183,0.0236710721878296
0.041749229631902224,2,4,189,77,0.02206029891156703
0.046170953853784086,8,4,400,12,0.06622029633459313
0.04196485012723031,2,6,170,133,0.06582423208532884
0.04349022259703533,2,6,377,269,0.06748596349602377
0.040118253990081475,2,2,92,266,0.0692331671257652
0.041777424588210293,2,6,233,80,0.07088441901164433
0.044101030841529686,2,2,73,157,0.07260000237595488
0.05257961477841415,2,6,257,23,0.07435889055290212
0.0787844875257145,6,6,102,169,0.05456984142516559
0.04182715795072285,2,4,267,257,0.0764565411255129
0.04003223386172187,8,2,303,99,0.04937847414743589
0.03341654413682427,4,10,120,179,0.02542830255586583
0.04973942824529654,4,4,350,247,0.026913101500082765
0.037683693711889885,6,10,162,38,0.09644626909256745
0.05485978986258107,4,6,242,80,0.07515423746452171
0.03653194675486657,4,4,106,78,0.015013864188621441
0.041350370299880146,2,2,103,15,0.09238850484273942
0.049733780316162324,2,10,148,108,0.09403930308037586
0.046629943248274894,2,8,250,141,0.09601593476255829
0.043193877012398976,2,2,132,133,0.05707169812510173
0.04265953166197488,2,8,355,296,0.055377578711123365
0.04489545403117135,2,2,212,300,0.0980387361864491
0.050843486766644824,2,4,217,18,0.05363352800011248
0.05234872205419197,2,10,391,158,0.05166595346571801
0.042519574124813296,2,2,390,187,0.04971042487569875
0.042862451484289965,2,8,48,225,0.048024046084885544
0.05587520609548083,2,4,209,197,0.04626693439834374
0.04205250297400559,2,6,263,11,0.04289479035294777
0.09386027408275002,6,10,369,219,0.09586610373816112
0.03937626678145921,2,8,211,72,0.04442922056345231
0.06918817360075885,8,10,196,293,0.03485642156333031
0.05260833626399243,6,2,400,18,0.09632141542446594
0.04955054072416466,6,2,104,300,0.054780368933301946
0.040994000018319036,6,4,146,1,0.055601365160296436
0.06559022600938297,6,4,62,228,0.05478385065058129
0.07812261296955883,6,4,206,177,0.00323739021223687
0.0556217171478247,8,6,72,187,0.038948544866989496
0.04799382437980831,4,6,195,127,0.07306823733314405
0.036561811220303504,4,2,52,233,0.0712523072195692
0.038870828826414,4,8,107,264,0.028998529606470078
0.03860999376486174,4,4,254,54,0.030603703301084733
0.08049334316260065,4,10,142,202,0.03228447185418776
0.08552243905427176,8,2,122,125,0.041025733023698746
0.08656977865467433,8,6,62,232,0.07811443160400093
0.08535463890833393,8,10,278,121,0.059401805462797976
0.05146953944021688,10,10,245,299,0.01792648684083794
0.07091746206165972,10,6,75,65,0.016012205595519777
0.10241469637468442,10,8,375,156,0.022530733411730973
0.04860662306239393,6,2,155,175,0.018819562624262272
0.10864788701073026,6,8,289,239,0.01719559770144803
0.05020111770898339,10,2,72,52,0.06347347967748494
0.1291911059069396,10,10,342,132,0.06163873861837799
0.036377248263249305,8,2,346,293,0.031728582900387534
0.04251760866953785,8,6,219,70,0.03022721190792222
0.13700994051628781,8,2,198,229,0.028431040718414548
0.045196478847803166,8,10,353,229,0.03308243115686075
0.07265562299232817,10,8,237,63,0.0958884521621389
0.09192974731600828,10,4,253,213,0.09963561320315947
0.07358655918989411,10,10,252,20,0.09224518649886031
0.6521098750033487,10,8,366,53,0.0875350936464602
0.056192291903678415,2,4,230,109,0.0080288640062437
0.056673653781625324,10,6,105,152,0.012742927981527387
0.06547213157107985,10,2,376,75,0.010776323404616307
0.13153306764638384,8,10,238,108,0.014204470549521822
0.056736158345340376,8,8,290,5,0.0867986073674952
0.0461628450931476,8,4,334,68,0.08876441503946345
0.04128089944626778,8,10,138,175,0.09047067024564089
