Time:,3:34:55.398760,Size:,250,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,H1,H2,Epochs,Batch Size,Learning rate
0.04718752978918268,2,6,224,41,0.08064192423412103
0.04723651705179539,4,2,179,130,0.007273215059508822
0.04379187074986136,4,10,45,90,0.024808593416913882
0.04492283708803664,2,6,356,147,0.09273606069074071
0.10004788102621445,10,6,42,162,0.0428274181917624
0.09387814846904476,10,2,56,295,0.09682790027813942
0.06200548694526847,10,6,144,239,0.0020710613474879506
0.03683758167761094,10,4,195,95,0.07869205483768324
0.07681824339023614,8,10,230,214,0.056239312813269125
0.0425936098933295,6,4,391,74,0.039154858473409694
0.05222054900987925,8,2,259,182,0.0918360358210653
0.04537925975987439,2,4,369,54,0.09271900346907196
0.06777895665050059,10,8,99,291,0.06650706442900041
0.060497294141027516,10,6,393,172,0.0647102188636915
0.0634959544164692,4,10,225,172,0.07078503380927997
0.07874550396849159,8,8,287,294,0.02917128202799367
0.03710824882644084,8,2,118,153,0.031132724044077346
0.042003107223675805,10,2,98,106,0.019263820659653652
0.06510155431803294,10,8,309,48,0.019758268482958752
0.04283490585064827,6,10,248,98,0.09594806861738564
0.04457711176110904,4,6,192,296,0.01701845950808498
0.04096940468425096,10,10,146,140,0.0568229622306388
0.03237452835945848,4,4,202,173,0.05785016516445345
0.056720729102098306,6,8,52,256,0.05146311125843841
0.06450876372573877,10,8,268,163,0.04262202063245138
0.03750545813008779,4,2,139,200,0.09094373788872283
0.03771066875351254,4,6,242,203,0.09193063320108244
0.04610316480521677,8,8,52,141,0.07206510027954517
0.048702324625224,4,10,59,184,0.04648073603176681
0.06278563256723241,8,8,142,300,0.007804288449990143
0.04971145540665185,4,10,202,235,0.0912199196237351
0.1272791547431773,10,8,344,146,0.026772041541217317
0.04355834079438106,4,4,320,17,0.04590662423325395
0.09448966872735381,8,2,186,100,0.011056464700712114
0.03309027957665424,8,10,281,1,0.034981229817218525
0.061764138059120295,2,10,203,134,0.08608117610679762
0.06375041336733614,6,4,240,191,0.055809227678689406
0.07881728312111466,6,10,256,82,0.06546496783204049
0.056885558102834834,2,2,385,3,0.045467777392825745
0.032070057449224025,6,6,229,99,0.008155453073350926
