Time:,0:08:50.462277,Size:,209
MSE,H1,H2,Epochs,Batch size,Learning rate
0.05121757040343261,8,4,10.0,60,0.0001
0.047283453608907365,8,4,10.0,60,0.000147
0.04650931631161348,8,4,10.0,60,0.000215
0.046160198305468525,8,4,10.0,60,0.000316
0.04554238399755275,8,4,10.0,60,0.000464
0.04440576938637297,8,4,10.0,60,0.000681
0.04325701279190251,8,4,10.0,60,0.001
0.04219031877726957,8,4,10.0,60,0.001468
0.04357885235213823,8,4,10.0,60,0.002154
0.046351711639928,8,4,10.0,60,0.003162
0.04853484316444463,8,4,10.0,60,0.004642
0.05153057324188678,8,4,10.0,60,0.006813
0.05397244802489854,8,4,10.0,60,0.01
0.0538265750380571,8,4,10.0,60,0.014678
0.0790330727904736,8,4,10.0,60,0.021544
0.06641985001998205,8,4,10.0,60,0.031623
0.04268984378106845,8,4,10.0,60,0.046416
0.04073859065611454,8,4,10.0,60,0.068129
0.06636687943354652,8,4,10.0,60,0.1
0.043115844541400966,8,4,39.0,60,0.0001
0.04309813087559651,8,4,39.0,60,0.000147
0.04342488535766041,8,4,39.0,60,0.000215
0.04361094864396091,8,4,39.0,60,0.000316
0.044869925154428704,8,4,39.0,60,0.000464
0.04159072709989745,8,4,39.0,60,0.000681
0.03635394883606565,8,4,39.0,60,0.001
0.027922261666050385,8,4,39.0,60,0.001468
0.028641857725679086,8,4,39.0,60,0.002154
0.04706268110655089,8,4,39.0,60,0.003162
0.05063677510413285,8,4,39.0,60,0.004642
0.06269883612883796,8,4,39.0,60,0.006813
0.03898446198205294,8,4,39.0,60,0.01
0.09238957052152345,8,4,39.0,60,0.014678
0.07017756824885042,8,4,39.0,60,0.021544
0.0470419509377192,8,4,39.0,60,0.031623
0.10738940032390736,8,4,39.0,60,0.046416
0.04241912216796817,8,4,39.0,60,0.068129
0.06512047562753503,8,4,39.0,60,0.1
0.04296111535250887,8,4,68.0,60,0.0001
0.041992863125559964,8,4,68.0,60,0.000147
0.04186803066253962,8,4,68.0,60,0.000215
0.04229881645288176,8,4,68.0,60,0.000316
0.04425806333837972,8,4,68.0,60,0.000464
0.03294309372243256,8,4,68.0,60,0.000681
0.027376681345242904,8,4,68.0,60,0.001
0.03249236365069798,8,4,68.0,60,0.001468
0.03703895805851727,8,4,68.0,60,0.002154
0.03413417438327583,8,4,68.0,60,0.003162
0.07098635342223579,8,4,68.0,60,0.004642
0.06179782598471431,8,4,68.0,60,0.006813
0.06351151530051156,8,4,68.0,60,0.01
0.07972555891292094,8,4,68.0,60,0.014678
0.06182973395044687,8,4,68.0,60,0.021544
0.07138898617543586,8,4,68.0,60,0.031623
0.043072613136275174,8,4,68.0,60,0.046416
